,text,normed_text
31668,Truong Trường THCS nguyen giap,Trường THCS Nguyên Giáp
31669,cao đang nghe kiên giang,Trường Cao Đẳng nghề Kiên Giang
31670,ueh,Trường Đại học Kinh tế TP.HCM
31671,dan toc noi tru Bnh Thuan,Trường THPT Dân Tộc Nội Trú Tỉnh Bình Thuận
31672,Trường THCS Thị Trấn Trà Ôn,Trường THCS Thị Trấn Trà Ôn
31673,Trung học phổ thông Phan Bội Châu Ninh,Trường THPT Phan Bội Châu
31674,Truong Trường THCS Chieng Cang,Trường THCS Chiềng Cang
31675,"Trường THPT Hậu Nghĩa, thị trấn Hậu Nghĩa",Trường THPT Hậu Nghĩa
31676,Hoằng Hóa 2,Trường Trường THPT Hoằng Hóa 2
31677,TT giáo dục thường xuyên thạch thành,TT GDTX Huyện Thạch Thành
31678,CDN DongNai,Trường Cao Đẳng Kỹ Thuật Đồng Nai
31679,Trường THPT lương tài 2,Trường THPT Lương Tài số 2
31680,ptth hoàng lệ kha,Trường THPT Hoàng Lệ Kha
31681,Asian Pacific Talent Youth Training Center (ATY),TT Đào tạo Tài năng trẻ Châu Á Thái Bình Dương
31682,Truong Trường THPT Vo Van Kiet,Trường THPT Võ Văn Kiệt
31683,Trương quan ly kinh tế công nghiệp lớp 96b2,Trường QUẢN LÝ KINH TẾ CÔNG NGHIỆP
31684,Trường THPT Yên Mô B - Ninh Bình,Trường THPT Yên Mô B
31685,Cao Lãnh 1,Trường THPT Cao Lãnh 1
31686,"University of Social Sciences and Humanities, Vietnam National University (USSH)",Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội
31687,Trường THCS Kim Chinh,Trường THCS Kim Chính
31688,HCM city Maritime vocational colleges,Trường Cao Đẳng Hàng hải II 
31689,Trường THPT Tây Tiền Hải,Trường THPT Tây Tiền Hải
31690,DH Bach Khoa TPHCM,Trường Đại học Bách khoa - Đại học Quốc gia TP.HCM
31691,Trường trung học phổ thông Đoàn Kết,Trường THPT Đoàn Kết - Hai Bà Trưng
31692,Hanoi Specilaized School in Foreign Languages,"Trường THPT Chuyên Ngoại ngữ, Đại học Quốc gia Hà Nội"
31693,Truong trung cap y te bac giang,Trường Trung Cấp Y Tế Bắc Giang
31694,Đại học Kinh tế và quản trị kinh doanh Thái Nguyên,Trường Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên
31695,Trường THPT thanh cong,Trường THCS Thành Công
31696,"Trường THPT nam tien hai,tien hai,thai binh",Trường THPT Nam Tiền Hải
31697,Cơ Sở Ba Đinh,Trường THCS Ba Đình
31698,Trường THCS dong giao,Trường THCS Đồng Giao
31699,Truong Dai Hoc Tay Bac,Trường Đại học Tây Bắc
31700,Trung học phổ thông Thanh Chương I,Trường THPT Thanh Chương I
31701,Trung Hoc Co So Quoi Dien,Trường THCS Quới Điền
31702,TH ba dinh,Trường TH Ba Đình
31703,Trường THPT phương phú,Trường THPT Phương Nam
31704,Pt nam gjag,Trường THPT Nam Giang
31705,Trường THPT Yên Hoa Huyện Na Hang Tỉnh Tuyên Quang,Trường THPT Yên Hoa
31706,truong trung hoc co so phuc lam,Trường THCS Phúc Lâm
31707,Trường cao đẳng nghề số 4 An Nhất Vinh,Trường Cao Đẳng nghề số 4 - BQP
31708,"Trường THPT Cao Bá Quát,Buôn Ma Thuột,DAKLAK",Trường THPT Cao Bá Quát
31709,Hoc Vien An ning,Học Viện An ninh Nhân Dân
31710,Phổ Thông Số 1 Nghĩa Hành,Trường THPT Số 1 Nghĩa Hành
31711,Học Sinh Lê Quý Đôn - Long Bình Tân,Trường THPT Lê Quý Đôn - Long Bình Tân
31712,trung học bù đăng,Trường THPT Bù Đăng
31713,cap 3 b kim son ninh binh,Trường THPT Kim Sơn B
31714,Trường THPT Nguyen Binh Khiem Phuoc An,Trường THPT Nguyễn Bỉnh Khiêm
31715,DHSPHP,Trường Đại học Sư phạm Hà Nội
31716,DH VHTT va DL Thanh Hoa,Trường Đại Học Văn Hóa Thể Thao Và Du Lịch Thanh Hoá
31717,TRUONG Trường THCS P2,Trường THCS Phường 2
31718,phổ thông Gia Viễn B,Trường THPT Gia Viễn B
31719,Trường THPT Tiên Hưng - tỉnh Thái Bình,Trường THPT Tiên Hưng
31720,CĐ Nghe Long An,Trường Cao Đẳng Long An
31721,DH KT Y Tế Hải Dương,Đại học Kỹ thuật Y tế Hải Dương
31722,Truong trung hoc co so Nhat Tan,Trường THCS Nhật Tân
31723,Truong CDN mo hong cam,Cao Đẳng Nghề Mỏ Hồng Cẩm
31724,Trường THPT BC Tam Nong,Trường THPT Tam Nông
31725,Lê Văn Tám School,Trường TH Lê Văn Tám
31726,"Trường THPT Thạch Châu, Lộc Hà, Hà Tĩnh",Trường THPT Mai Thúc Loan
31727,Trường ĐH Sư phạm 2 Hà Nội,Trường Đại học Sư phạm Hà Nội 2
31728,Trường THPT nguyen duc thuan,Trường THPT Nguyễn Đức Thuận
31729,đại học luật,Trường Đại học Luật Hà Nội
31730,Đại Học Thủ Dầu Một,Parmount Central Bình Dương
31731,Trường THPT Lưu Nhân Chú,Trường THPT Lưu Nhân Chú
31732,Trường trung cấp nghề Nam Thái Nguyên,Trường Trung Cấp Nghề Nam Thái Nguyên
31733,PTTH Nghia lo,Trường THPT Thị xã Nghĩa Lộ
31734,trung cap kinh te nam dinh,Trường Trung cấp Kinh tế Kỹ thuật nông nghiệp Nam Định
31735,Trường Mầm Non An Dương,Trường Mầm Non An Dương
31736,Trường THPT Cẩm Xuyên,Trường THPT Cẩm Xuyên
31737,DHSP1 HaNoi,Trường Đại học Sư phạm Hà Nội
31738,Trường THPT Võ Văn Kiệt,Trường THPT Võ Văn Kiệt
31739,vietnam maritime univesity,Trường Đại học Hàng hải Việt Nam
31740,Truog Trường THPT sơn dương,Trường THPT Sơn Dương
31741,CD nghe CNCHN,Trường Cao Đẳng nghề Công nghiệp Hà Nội
31742,Truong trung cap buu chinh vien thong my tho,Trường trung cấp bưu chính viễn thông và công nghệ thông tin III
31743,trung hoc co so kim long,Trường THCS Kim Long
31744,Trung hoc Dong Da,Trường THPT Đống Đa
31745,truong dai hoc tong hop,Trường Đại học Tổng hợp Hà Nội
31746,Trường THPT Bình Tân,Trường THPT Bình Tân
31747,Trung cap VHNT Da Nang,Trường Cao Đẳng Văn hóa Nghệ thuật Đà Nẵng
31748,Trường Đại Học Hòa Bình - HN,"Trường Đại Học Hòa Bình, Hà Nội"
31749,Dh cong nhjep thaj nguyen,Trường Đại Học Kỹ Thuật Công Nghiệp
31750,Trường TH Ba Hàng,Trường TH Ba hàng
31751,Trường THPT Soc,Trường THPT Sóc Sơn
31752,Trường THCS Ngô Sĩ Liên Chương Mỹ,Trường THCS Ngô Sỹ Liên
31753,Trường THCS-THPT Nguyễn Bỉnh Khiêm,Trường TH-THCS-THPT Nguyễn Bỉnh Khiêm
31754,Trường THPT Dân tộc nội tru tinh thanh hoa,Trường THPT Dân tộc Nội trú Thanh Hóa
31755,Truong CDGTVT III,Trường Cao Đẳng GTVT Trung ương III
31756,Cao đằng công thương TP.HCM,Trường Cao Đẳng Công Thương TP.HCM
31757,the university of transport in ho chi minh city,Trường Đại học Giao thông Vận tải TP.HCM
31758,Truong trung hoc pho thong toan thang,Trường THPT Toàn Thắng
31759,Dai hoc su pham yen bai,Cao Đẳng Sư Phạm Yên Bái
31760,trung cap tai chinh kt bd,Trường Trung Cấp Tài Chính Kế Toán Bình Dương
31761,TT Pha Màu Lâm Hoàng Sơn,TT Pha Màu Lâm Hoàng Sơn
31762,TRUONG Trường THCS NGO QUYEN,Trường THCS Ngô Quyền
31763,Trường THPT Yên Dũng số 1 - Bắc Giang,Trường THPT Yên Dũng 1
31764,Trường THPTnguyen thi minh khai,Trường THPT Nguyễn Thị Minh Khai
31765,truong Trường THPT Bac Lung Luc Nam,Trường THPT Lục Nam
31766,Thật tây Tiền Hải Thái Bình,Trường THPT Tây Tiền Hải
31767,Trường THPT Thuy Xuan,Trường THPT Xuân Thủy
31768,"Trường THCS Nguyễn Viết Xuân,Yên binh",Trường TH Nguyễn Viết Xuân
31769,Truong thph pham van dong,Trường THPT Phạm Văn Đồng
31770,Phổ Thông Hà Lang,Trường THPT Hạ Lang
31771,Trường THCS Đoàn Thị Điểm 56 Ngô Quyền,Trường THCS Đoàn Thị Điểm 
31772,Trường THPT Lê Quý Đôn Nam Định,Trường THPT Lê Quý Đôn
31773,Trường THPT Lê Quí Đôn-Bến cát,Trường THCS Lê Quý Đôn
31774,mỹ đức A,Trường THPT Mỹ Đức A
31775,trung cap quan y 2,Trường Cao Đẳng Quân Y 2
31776,Trường THCS Tiên Cường,Trường THCS Tiên Cường
31777,Trường TH hòa tân 3,Trường TH Tân Hòa
31778,Trường THCS Nguyễn Thái Bình,Trường THCS Nguyễn Thái Bình
31779,Trường Cao Đẳng Kỹ thuật Công nghiệp Bắc Giang,Trường Cao Đẳng Kỹ thuật Công nghiệp
31780,dai hoc xay dung cong trinh do thi,Trường Cao Đẳng Xây dựng Công trình Đô Thị
31781,Nghĩa Hưng B,Trường THPT B Nghĩa Hưng
31782,Trung học cơ sỏ Bát Tràng,Trường THCS Bát Tràng
31783,phan boi chau son hoa phu yen,Trường THPT Phan Bội Châu
31784,cao đẳng lạc việt đà nẵng,Trường Cao Đẳng LẠC VIỆT
31785,truong CDSP Vinh PHuc,Trường Cao Đẳng Vĩnh Phúc
31786,Trung hoc co so kieu ky,Trường THCS Kiêu Kỵ
31787,Trường THPT TRAN NHAN TONG DAKLAK,Trường THPT Trần Nhân Tông
31788,Trường THCS̉ Hưng Đạo Cấp 2,Trường THCS Hưng Đạo
31789,Trường Trung Học Phổ Thông Thường Tân,Trường THPT Thường Tân
31790,HCMUTE - HCMC University of Technical Education,Trường Đại học Sư phạm Kỹ thuật TP.HCM
31791,pt kim bang c,Trường THPT C Kim Bảng
31792,trung hoc co so an trach,Trường THCS Di Trạch
31793,Trường THPT Chuyen TQ,Trường THPT Chuyên Tuyên Quang
31794,Truong Trường THPT TRAN QUOC TUAN PHU THIEN,Trường THPT Trần Quốc Tuấn
31795,Trường THPT vinh xuan,Trường THPT Vinh Xuân
31796,Trường THPT An Phước,Trường THPT An Phước
31797,Trường THCS Liên Bảo,Trường THCS Liên Bảo
31798,Trường Đại học Tiền Giang,Trường Đại học Tiền Giang
31799,TTPT CHIEM HOA,Trường THPT Chiêm Hóa
31800,trung hoc pho thong phan van bay,Trường THPT Phan Văn Bảy
31801,Trường THCS hồng khê,Trường THCS Hồng Khê
31802,Trường THPT Phan Đăng Lưu ( Nghệ An ),Trường Trường THPT Phan Đăng Lưu
31803,Trường THCS Hồng Bàng,Trường THCS Hồng Bàng
31804,Trường THPT Nguyễn Trãi,Trường THPT Nguyễn Trãi - Ba Đình
31805,Trung học phổ thông Hồng Quang_Hải Dương,Trường THPT Hồng Quang
31806,Trường TH Quỳnh Văn A,Trường TH Quỳnh Văn B
31807,Tc y te ba rja vung tau.,Trường Trung Cấp Y Tế BR-VT
31808,Trường TH Hương Lâm,Trường TH Hương Lâm
31809,Truong trung hoc co so Ngo Quyen,Trường THCS Ngô Quyền
31810,Trường THCS loc thang-bao lam,Trường THCS Trần Phú
31811,dai hoc sieu pham,Trường Đại học Sư phạm Hà Nội
31812,Trung Học Phổ Thông Trần Phú_Bình Long,Trường THPT Trần Phú
31813,"Trường THPT NK TDTT Nguyễn Thị Định, Quận 8, TP. Hồ Chí Minh",Trường THPT Chuyên NK TDTT Nguyễn Thị Định
31814,Trường THPT hữubằng,Trường THCS Hữu Bằng
31815,Trường THCS quynh hau,Trường THCS Quỳnh Hậu
31816,"12a6 Trường THPT Thanh Hòa, Huyện Bù Đốp, Tỉnh Bình Phước",Trường THPT Thanh Hòa
31817,Trường THCS Long Sơn,Trường THCS Long Sơn
31818,truong trung hoc co so an loc B,Trường THCS An Lộc B
31819,Trường THCS Trung Hạ,Trường THCS Trung Hà
31820,TCPT Tống Văn Trân,Trường THPT Tống Văn Trân
31821,University of Communication and Transport,Trường Đại học Giao thông Vận tải 
31822,Truong trung cap nôg lam thanh hoa,Cao Đẳng Nông Lâm Thanh Hóa
31823,Trường THPT Yên Khánh A ( vườn muỗn ),Trường THPT Yên Khánh A
31824,Trường THCS Trần Phú/Lộc Thắng,Trường THCS Trần Phú
31825,Truong Cao dang su pham Tuyen Quang,Trường Cao Đẳng Sư phạm Tuyên Quang
31826,Trường THCS Mỹ Long Bắc,Trường THCS Mỹ Long Bắc
31827,dại học kinh tế kĩ thuật công nghiệp,Trường Đại học Kinh tế Kỹ thuật Công nghiệp 
31828,TH Kim Đồng Q 5 TpHCM,Trường THCS Kim Đồng
31829,Đại Học  KTKT Nghệ An,"Trường Đại Học Điện Lực, Trường trung cấp KTKT Hồng Lam"
31830,PTTH Hai Hau A,Trường THPT A Hải Hậu
31831,cao dang nge co gioi nb,Trường Cao Đẳng Cơ Giới Ninh Bình
31832,"Add ""Trung Hoc Co So Nguyen Tat Thanh",Trường THCS-THPT Nguyễn Tất Thành
31833,Truong dai hoc tu do,Trường Đại học Thủ đô Hà Nội
31834,Trường DH Mỹ Thuật Công Nghiệp Hà Nội,Trường Đại học Mỹ thuật Công nghiệp
31835,Trường THCS Phú Hữu,Trường THCS Phú Hữu
31836,Trung tam giao thuong Hoc Mon,TT GDTX Huyện Hóc Môn
31837,Phổ Thông Cấp 2-3 Tân Lập,Trường THPT Tân Lập
31838,HMTU,Đại học Kỹ thuật Y tế Hải Dương
31839,DH Hang Khong,Học viện Hàng không Việt Nam
31840,CD Sư Phạm Yên Bái,Cao Đẳng Sư Phạm Yên Bái
31841,Cao Đẳng sư phạm Bắc Ninh,Trường Cao Đẳng Sư Phạm Bắc Ninh
31842,Trường THPT tươg dươg 2,Trường THPT Tương Dương 2
31843,Trường THPT Nguyễn Huệ Phú Yên,Trường THPT Nguyễn Huệ
31844,Trường THCS Phước Thiền,Trường THCS Phước Thiền
31845,Cao Đẳng CNTT TPHCM,Trường Cao Đẳng Công Nghệ Thông Tin TP.HCM
31846,"PT cấp 2-3 Phan Chu Trinh, Phú Yên",Trường THPT Phan Chu Trinh
31847,Trường THPT Nguyễn Đình Chiểu - thua thjen hue,Trường THPT Nguyễn Đình Chiểu
31848,Trường THPT Lý tự trọng - Khánh Hòa,Trường THPT Lý Tự Trọng
31849,Trường THCS Tam Hưng,Trường THCS Tam Hưng
31850,Trường THPT TRƯƠNG ĐỊNH - Tỉnh TIỀN GIANG,Trường THPT Trương Định
31851,THTP nguyen tran,Trường THPT Nguyễn Trân
31852,TT GDTX Huyện Thủy Nguyên,TT GDTX Huyện Thủy Nguyên
31853,"Lý Tự Trọng High Shool, Nha Trang",Trường THPT Lý Tự Trọng
31854,Trường THPT Bac Dong Quan,Trường THPT Bắc Đông Quan
31855,Đại học tổng hợp quốc gia,Đại Học Tổng Hợp Hà Nọi
31856,THCS̉ Nam Ngạn,Trường THCS NAM NGẠN
31857,truong cao dang ki thuat cao thang,Trường Cao Đẳng Kỹ thuật Cao Thắng
31858,Trường THCS Him LamThành Phố Điện Biên Phủ - Tỉnh Điện Biên,Trường THCS Him Lam
31859,Cơ sở Võ Trường Toản,Trường TH và Trường THCS Trần Quôc Toản
31860,Trường Sĩ quan Pháo binh - Binh chủng Pháo binh,Trường Sĩ Quan Pháo Binh
31861,Trường THPT Đinh Tiên Hoàng (Ninh Bình),Trường THPT Đinh Tiên Hoàng
31862,Trường THPT Lịch Hội Thượng,Trường THPT Lịch Hội Thượng
31863,Trường THPT Cù Chính Lan,Trường THPT Cù Chính Lan
31864,Trường THPT VĨNH TRẠCH,Trường THPT Vĩnh Trạch
31865,Dong Nai University of Technology Biên Hòa,Trường Đại Học Công Nghệ Đồng Nai
31866,Trường THCS Thị trấn Đồi Ngô,Trường THCS thị trấn Đồi Ngô
31867,Đại Học Cảnh Sát Nhân Dân TPHCM,Trường Đại học Cảnh sát Nhân dân
31868,Truơng Trường THCS haj chau,Trường THCS Hải Châu
31869,Hoang Hoa 2 highschool,Trường Trường THPT Hoằng Hóa 2
31870,10c Trường cấp 3 Lương văn Tri,Trường THPT Lương Văn Can Hà Nội
31871,Trường THPT Nho Quan A,Trường THPT Nho Quan A
31872,Trường THCS Giao Châu,Trường THCS xã Giao Châu
31873,Trung Hoc Pho Thong Doan Hung,Trường THPT DTNT Đoan Hùng
31874,Cao Đẳng nghề Giao thông vận tải Đường thủy 1,Trường Cao Đẳng GTVT đường thủy I
31875,Trường THPT Cửa Lò 2,Trường THPT Cửa Lò 2
31876,Trường Kỹ Thuật Hải Quân,Trường Cao Đẳng Kỹ thuật Hải quân
31877,Trường THPT Nguyễn Thị Minh Khai-tp Hồ Chí Minh,Trường THPT Nguyễn Thị Minh Khai
31878,Truong Trường THCS Tran Van Thoi,Trường THCS Thị Trấn Trần Văn Thời
31879,truong dan toc noi tru tinh kon tum,Trường Dân tộc nội trú tỉnh Kon Tum
31880,Trường THPT-nguyen traj,Trường THPT Nguyễn Trãi - Ba Đình
31881,Trường Đại học Y khoa vinh,Trường Đại học Y khoa Vinh
31882,co so thang 10,Trường THCS Tháng 10
31883,Trường THPT A Hải Hậu,Trường THPT A Hải Hậu
31884,Cao đẳng Nông Nghjệp Nam Bộ,Trường Cao Đẳng nông nghiệp Nam Bộ
31885,"Trường THCS Nguyễn Công Trứ, Eangai, Krông Buk, Dak Lak",Trường THCS Nguyễn Công Trứ
31886,Nhạc Viện TP.HCM,Nhạc Viện TP.HCM
31887,Trường Đại Học Dân Lập Phú Xuân,Trường Đại học Phú Xuân - city campus
31888,Cao Đẳng công ngiệp hóa chất lâm thao,Trường Cao Đẳng Công nghiệp Hóa chất
31889,Đại Học Giao thông Vận Tải Cơ Sở 2 TPHCM,Phân hiệu Trường Đại học GTVT tại TP.HCM
31890,Trường THPT Số 1 Bắc Hà,Trường THPT số I Bắc Hà
31891,Kinh te doi ngoai can tho,Trường Cao Đẳng Kinh tế Đối ngoại 
31892,Trường cdcn cẩm phả,Trường Cao Đẳng Công nghiệp Cẩm Phả
31893,Trường THCS Nguyễn Huệ-Cẩm Giàng-Hải Dương,Trường THCS Nguyễn Huệ
31894,Trường THCS Nhơn Hòa,Trường THCS Nhơn Hòa
31895,Đại học y phú thọ,Trường Cao Đẳng Y tế Phú Thọ
31896,Trường THCS nguyen van luong,Trường THCS Nguyễn Văn Luông
31897,Trường THPT An Hải-Hải Phòng,Trường Tư Thục Trường THPT An Hải
31898,Trường THCS Cam Gía,Trường THCS Cam Giá
31899,Trường Cao Đẳng múa VN,Học viện Múa Việt Nam
31900,trung cap xd,Trường Trung cấp xây dựng Hà Nội
31901,ĐH Ngoại Ngữ - ĐH Đà Nẵng,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng
31902,Trường THPT Bình Phú _ Trà Vinh,Trường THPT Nguyễn Văn Hai
31903,Trường THCS CAM LINH,Trường THCS Cẩm Lĩnh
31904,Mau giao Trung Uong 1,Trường Cao Đẳng Sư phạm Trung ương
31905,CAO DANG CN THAI NGUYEN,Cao Đẳng Công nghiệp Thái Nguyên
31906,Trường THPT Tốt Động,Trường THPT Chúc Động
31907,Trường THPTTH Vũ Quang,Cơ quan Trường THPT Vũ Quang
31908,Đh ky thuat cn TN,Trường Đại Học Kỹ Thuật Công Nghiệp
31909,Cao Đẳng Sư Phạm Hải Dương,Trường Cao Đẳng sư phạm hải dương
31910,cao dang thuong mai va du lich thai nguyen,Trường Cao Đẳng Thương Mại và Du lịch
31911,Trường THPT NGHĨA HƯNG B NAM ĐỊNH,Trường THPT B Nghĩa Hưng
31912,Ho Chi Minh City University of Law,Trường Đại học Luật TP.HCM
31913,Đại học cao đằng luật hà nội,Cao Đẳng Luật Hà Nội
31914,Đại hoc kinh kế quốc quốc dân,Trường Đại Học Kinh Tế Quốc Dân
31915,Milytary Technical Academy,Học viện Kỹ thuật Quân sự
31916,Trường THPT Lương Đắc Bằng - Hoằng Hóa,Trường THPT Lương Đắc Bằng
31917,Trường Đại Học Công nghiệp Hà Nội,Trường Đại học Công nghiệp Hà Nội
31918,Trường THPT Dien Chau4 Dien Mỹ,Trường THPT Diễn Châu 4
31919,Trường THPT Cao Thắng,Trường THPT Cao Thắng
31920,Trường THPT Phú Bình - Thái Nguyên,Trường THPT Phú Bình
31921,Trường Trường THPT Chuyên Lê Khiết,Trường THPT chuyên Lê Khiết
31922,dai hoc cong nhiep quang ninh,Trường Đại học Công nghiệp Quảng Ninh
31923,Trường THCS Tu Minh,Trường THCS Tứ Minh
31924,"Trường cấp 2,3 Mang Yang",Trường THCS Dân tộc nội trú huyện Mang Yang
31925,đai hoc lang thang,Trường Đại học Thăng Long
31926,Trường THPT Chương Mỹ A,Trường THPT Chương Mỹ A
31927,Trường THPT Qùy hợp 3,Trường THPT Quỳ Hợp 3
31928,Trường THCS Thị Trấn Hưng Hà,Trường THCS Thị Trấn Hưng Hà
31929,Nguyễn Trãi-Ba Đình,Trường THPT Nguyễn Trãi - Ba Đình
31930,Trường THCS Kim Dinh,Trường THCS Kim Đính
31931,Trường THPT Phạm Văn Nghị,Trường THPT Phạm Văn Nghị
31932,Trường THPT Lộc Bình,Trường THPT Lộc Bình
31933,Trường THPT hoangquocviet băcninh,Trường THPT Hoàng Quốc Việt
31934,Trường THCS Trung Hòa,Trường THCS Trung Hòa
31935,Trường THCS Ngọc Tố,Trường THCS Ngọc Tố
31936,Đại học Khoa học Xã hội và Nhân văn Thành phố Hồ Chí Minh,Trường Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
31937,Truong TH Hoang Dieu,Trường TH Hoàng Diệu
31938,Sư Phạm Kon Tum,Cao Đẳng Sư Phạm KonTum
31939,"Trường THPT Đoàn kết, Hà nội",Trường THPT Đoàn Kết - Hai Bà Trưng
31940,Truong trung hoc pho thong Quang Trung Daklak,Trường THPT Quang Trung
31941,TT GDTX huyen cu chi,TT GDNN-GDTX Huyện Củ Chi
31942,"Trường THPT Bến Tre, TX Phúc Yên - tỉnh Vĩnh Phúc",Trường THPT Bến Tre
31943,Trường THPT Trần Can huyện Điện Biên Đông,Trường THPT Trần Can
31944,TT GDTX Binh Duong,TT GDTX tỉnh Bình Dương
31945,buon me thuoc,Thành phố Buôn Ma Thuột
31946,Trường THPT Trần Quang Khải - Long Điền - BRVT,Trường THPT Trần Quang Khải
31947,truong Trường THPT phan viet thong,Trường THPT Phan Việt Thống
31948,TT GDTX.djan,Trường TT GDTX Đan Phượng
31949,"Trường THCS Yên Sơn,Quốc Oai,Hà Nội",Trường THCS Yên Sơn
31950,th co so tan thanh,Trường THCS Tân Thành
31951,Trường THPTBC Thanh Chương,Trường THPT Thanh Chương I
31952,truong Trường THPT phan chu trinh,Trường THPT Phan Chu Trinh
31953,Trường THCS Đại Đồng,Trường THCS Đại Đồng
31954,Trường THCS Song liễu,Trường THCS Song Liễu
31955,CĐ Sư Phạm Ninh Thuận,Trường CĐ Sư phạm Ninh Thuận
31956,TRUNG CAP CAU DUONG,Trường Trung Cấp Cầu Đường & Dạy Nghề Binh Đoàn 12
31957,DH cong nghiep ha noi  haui,Trường Đại học Công nghiệp Hà Nội
31958,PTTH NGHĨA HƯNG A,Trường THPT Nghĩa Hưng A
31959,Trường THPT quynn nhai,Trường THPT Quỳnh Nhai
31960,ptdtnt binh phuoc,Trường THPT Dân Tộc Nội Trú Tỉnh Bình Phước
31961,Trương Trung Hoc Phô Thông thi trân phong thô phong thô,Trường THPT Phong Thổ
31962,Trường THCS Vĩnh Hựu,Trường THCS Vĩnh Hựu
31963,Trường THCS Hành Tín Tây,Trường THCS Hành Tín Tây
31964,Trường THPT Tam Đảo 2,Trường THPT Tam Đảo 2
31965,cao dang nghe ha nam,Trường Cao Đẳng Nghề Hà Nam
31966,Trường cd sư phạm tw Nha Trang,Trường Cao Đẳng Sư Phạm Trung Ương Nha Trang
31967,Academy of Journalism,Học viện Báo chí & Tuyên truyền 
31968,Trường THPT hươnq khê,Trường THPT HƯƠNG KHÊ
31969,truong my thuat thanh pho ho chi minh,Trường Đại học Mỹ thuật TP.HCM
31970,Trường Đại học Bách Khoa Hà Nội,Trường Đại học Bách khoa Hà Nội
31971,Trường Cao Đẳng Du lịch Hà Nội.,Trường Cao Đẳng Du Lịch Hà Nội
31972,pho thong bac tra my,Trường THPT Bắc Trà My
31973,Trường THCS La Hien,Trường THCS La Hiên
31974,Trường THPT MY DINH,Trường THPT Mỹ Đình
31975,Banking University of Ho Chi Minh City,Trường Đại Học Ngân Hàng TP.HCM 
31976,Trường THPT BC Nuí Thành,Trường THPT Bán Công Núi Thành
31977,Trường THPT Nguyễn Trãi Phú yên,Trường THPT Nguyễn Trãi
31978,THSC Hưng Công,Trường THCS Hưng Công
31979,trung hoc co so vinh my b,Trường THCS Vĩnh Mỹ B
31980,Cd Cong Nghe Thong Tin Tp Ho Chi Minh,Trường Cao Đẳng Công Nghệ Thông Tin TP.HCM
31981,DVTC,Trường Cao Đẳng Du Lịch Đà Nẵng
31982,Trường THCS-THPT phú tân,Trường THCS-THPT Phú Tân
31983,Trường THCS Lê Hữu Trác,Trường THCS trọng điểm Lê Hữu Trác
31984,Trường THPT TCIII,Trường Cao Đẳng Nghệ Thuật Hà Nội
31985,Trường THCS Huỳnh Khương Ninh-Cơ Sở 2,Trường THCS Huỳnh Khương Ninh
31986,Chuyên Lê Quý Đôn / Le Quy Don,Trường THPT chuyên Lê Quý Đôn
31987,Harvert University,Đại học Harvard 
31988,pho thong trung hoc Doan Hung,Trường THPT DTNT Đoan Hùng
31989,pho thong trung hoc ham thuan nam,Trường THPT Lương Thế Vinh
31990,Trường THPT Quỳnh Côi,Trường THPT Quỳnh Côi
31991,Truong trung hoc co so tan xuan,Trường THCS Tân Xuân
31992,Đại học Nội vụ_Hà Nội,Trường Đại Học Nội Vụ Hà Nội
31993,PTDT noi tru Kien Giang,Trường Trường THPT Dân Tộc Nội Trú Huyện An Biên Tỉnh Kiên Giang
31994,Trường THCS Thị Trấn Đại Ngãi,Trường THCS Đại Ngãi
31995,Hoàng Hoá II,Trường Trường THPT Hoằng Hóa 2
31996,truong trung hoc pho thong hung an bac quang ha giang,Trường THPT Việt Vinh
31997,Trường Trường THPT Nguyễn Hùng Hiệp,Trường THPT Nguyễn Hùng Hiệp
31998,Trường THCS Bình Thanh,Trường THCS Bình Thành
31999,HLIVC,Trường Cao Đẳng nghề Công nghiệp Hà Nội
32000,Trường THPT Hoàng Văn Thụ - TP Hải Dương,Trường THPT Hoàng Văn Thụ
32001,Trường THCS Trần Hưng Đạo,Trường THPT Trần Hưng Đạo
32002,Guangxi Normal University,Đại học Sư phạm Quảng Tây
32003,Trường chính trị tỉnh Sóc Trăng,Trường Chính Trị tỉnh Sóc Trăng
32004,Học viện quốc phòng,Học viện Quốc phòng
32005,Trường Trung Cấp Nghề Kinh Tế Kỹ Thuật Công Nghiệp Vinh,Trường Trung Cấp Nghề Kinh Tế Kỹ Thuật Công Nghiệp Vinh
32006,TTrường THCS huynh thuc khang,Trường THPT Huỳnh Thúc Kháng
32007,Trung học Văn thư Lưu trữ I,Trung cấp Văn thư lưu trữ Hà Nội
32008,"12A20 Nguyễn Công Trứ,Gò Vấp",Trường THPT Nguyễn Công Trứ
32009,Trường THCS Trung Môn,Trường THCS Trung Môn
32010,Trường Trung cấp kinh tế kỹ thuật Hà Giang,Trường Kinh tế Kỹ thuật Hà Giang
32011,Đại học Hải Phòng,Trường Đại học Hải Phòng
32012,Trường THPT Sơn La,Trường THPT Chuyên Sơn La
32013,Trường THPT Lạc Sơn,Trường THPT Lạc Sơn
32014,Trường THPT DL Hồng Hà,Trường Hồng Hà - Nguyễn Khuyến
32015,truong dai hoc dai nam,Trường Đại Học Đại Nam
