,text,normed_text,clean_text
26590,truong Trường THPT tuan giao,Trường THPT Tuần Giáo,THPT Tuần Giáo
26591,trung tam gdtx huyen tuan giao,TT GDTX huyện Tuần Giáo,GDTX huyện Tuần Giáo
26592,truong Trường THPT mun chung,Trường THPT Mùn Chung,THPT Mùn Chung
26593,truong pt dtnt Trường THPT huyen tuan giao,Trường THPT DTNT Trường THPT huyện Tuần Giáo,THPT DTNT Trường THPT huyện Tuần Giáo
26594,truong Trường THCS va Trường THPT quai to,Trường THCS-THPT Quài Tở,THCS-THPT Quài Tở
26595,trung tam gdnn gdtx huyen tuan giao,TT GDNN-GDTX huyện Tuần Giáo,GDNN-GDTX huyện Tuần Giáo
26596,truong Trường THPT muong cha,Trường THPT Mường Chà,THPT Mường Chà
26597,trung tam gdtx huyen muong cha thi tran muong cha huyen muong cha,"TT GDTX huyện Mường Chà Thị trấn Mường Chà, huyện Mường Chà","GDTX huyện Mường Chà Thị trấn Mường Chà, huyện Mường Chà"
26598,truong pt dtnt Trường THPT huyen muong cha,Trường THPT DTNT Trường THPT huyện Mường Chà,THPT DTNT Trường THPT huyện Mường Chà
26599,trung tam gdnn gdtx huyen muong cha,TT GDNN-GDTX huyện Mường Chà,GDNN-GDTX huyện Mường Chà
26600,truong Trường THPT tua chua,Trường THPT Tủa Chùa,THPT Tủa Chùa
26601,trung tam gdtx huyen tua chua,TT GDTX huyện Tủa Chùa,GDTX huyện Tủa Chùa
26602,truong Trường THCS va Trường THPT ta sin thang,Trường THCS-THPT Tả Sìn Thàng,THCS-THPT Tả Sìn Thàng
26603,truong pt dtnt Trường THPT huyen tua chua,Trường THPT-DTNT-Trường THPT huyện Tủa Chùa,THPT-DTNT-Trường THPT huyện Tủa Chùa
26604,trung tam gdnn gdtx huyen tua chua,TT GDNN-GDTX huyện Tủa Chùa,GDNN-GDTX huyện Tủa Chùa
26605,truong Trường THPT tran can,Trường THPT Trần Can,THPT Trần Can
26606,truong Trường THPT muong luan,Trường THPT Mường Luân,THPT Mường Luân
26607,trung tam gdtx huyen dien bien dong,TT GDTX huyện Điện Biên Đông,GDTX huyện Điện Biên Đông
26608,truong pt dtnt Trường THPT huyen dien bien dong,Trường THPT DTNT Trường THPT huyện Điện Biên Đông,THPT DTNT Trường THPT huyện Điện Biên Đông
26609,trung tam gdnn gdtx huyen dien bien dong,TT GDNN-GDTX huyện Điện Biên Đông,GDNN-GDTX huyện Điện Biên Đông
26610,truong Trường THPT muong nhe,Trường THPT Mường Nhé,THPT Mường Nhé
26611,trung tam gdtx huyen muong nhe xa muong nhe huyen muong nhe,"TT GDTX huyện Mường Nhé Xã Mường Nhé, huyện Mường Nhé","GDTX huyện Mường Nhé Xã Mường Nhé, huyện Mường Nhé"
26612,truong pt dtnt Trường THPT huyen muong nhe,Trường THPT DTNT Trường THPT huyện Mường Nhé,THPT DTNT Trường THPT huyện Mường Nhé
26613,trung tam gdnn gdtx huyen muong nhe,TT GDNN-GDTX huyện Mường Nhé,GDNN-GDTX huyện Mường Nhé
26614,truong Trường THPT muong ang,Trường THPT Mường Ảng,THPT Mường Ảng
26615,truong Trường THPT bung lao,Trường THPT Búng Lao,THPT Búng Lao
26616,trung tam gdtx huyen muong ang thi tran muong ang huyen muong ang,"TT GDTX huyện Mường Ảng Thị trấn Mường Ảng, huyện Mường Ảng","GDTX huyện Mường Ảng Thị trấn Mường Ảng, huyện Mường Ảng"
26617,truong pt dtnt Trường THPT huyen muong ang,Trường THPT DTNT Trường THPT huyện Mường Ảng,THPT DTNT Trường THPT huyện Mường Ảng
26618,trung tam gdnn gdtx huyen muong ang,TT GDNN-GDTX huyện Mường Ảng,GDNN-GDTX huyện Mường Ảng
26619,truong Trường THPT cha cang,Trường THPT Chà Cang,THPT Chà Cang
26620,truong Trường THPT nam po,Trường THPT Nậm Pồ,THPT Nậm Pồ
26621,trung tam gdnn gdtx huyen nam po,TT GDNN-GDTX huyện Nậm Pồ,GDNN-GDTX huyện Nậm Pồ
26622,so gd dt dak nong,Sở GD-ĐT Dăk Nông,Sở GD-ĐT Dăk Nông
26623,Trường THPT chu van an,Trường THPT Chu Văn An,THPT Chu Văn An
26624,trung hoc pho thong dan toc noi tru n trang long tinh dak nong,Trường THPT Dân tộc nội trú N' Trang Lơng tỉnh Đắk Nông,THPT Dân tộc nội trú N' Trang Lơng tỉnh Đắk Nông
26625,Trường THPT gia nghia,Trường THPT Gia Nghĩa,THPT Gia Nghĩa
26626,tt gdtx ngoai ngu tin hoc tinh dak nong,"TT GDTX-Ngoại ngữ, tin học tỉnh Đắk Nông","GDTX-Ngoại ngữ, tin học tỉnh Đắk Nông"
26627,trung cap nghe dak nong,Trung cấp nghề Đăk Nông,TC nghề Đăk Nông
26628,Trường THPT chuyen nguyen chi thanh,Trường THPT Chuyên Nguyễn Chí Thanh,THPT Chuyên Nguyễn Chí Thanh
26629,Trường THPT pham van dong,Trường THPT Phạm Văn Đồng,THPT Phạm Văn Đồng
26630,Trường THPT nguyen tat thanh,Trường THPT Nguyễn Tất Thành,THPT Nguyễn Tất Thành
26631,tt gdnn gdtx dak rlap,TT GDNN-GDTX Đắk RLấp,GDNN-GDTX Đắk RLấp
26632,Trường THPT truong chinh,Trường THPT Trường Chinh,THPT Trường Chinh
26633,pho thong dtnt Trường THCS-THPT huyen dak rlap,Trường THPT DTNT Trường THCS-THPT huyện Đăk RLấp,THPT DTNT Trường THCS-THPT huyện Đăk RLấp
26634,Trường THPT nguyen dinh chieu,Trường THPT Nguyễn Đình Chiểu,THPT Nguyễn Đình Chiểu
26635,Trường THPT dak mil,Trường THPT Đăk Mil,THPT Đăk Mil
26636,Trường THPT tran hung dao,Trường THPT Trần Hưng Đạo,THPT Trần Hưng Đạo
26637,tt gdnn gdtx dak mil,TT GDNN-GDTX Đăk Mil,GDNN-GDTX Đăk Mil
26638,Trường THPT nguyen du,Trường THPT Nguyễn Du,THPT Nguyễn Du
26639,pho thong dtnt Trường THCS-THPT huyen dak mil,Trường THPT DTNT Trường THCS-THPT huyện Đăk Mil,THPT DTNT Trường THCS-THPT huyện Đăk Mil
26640,tt gdnn gdtx cu jut,TT GDNN-GDTX Cư Jút,GDNN-GDTX Cư Jút
26641,Trường THPT phan boi chau,Trường THPT Phan Bội Châu,THPT Phan Bội Châu
26642,Trường THPT nguyen binh khiem,Trường THPT Nguyễn Bỉnh Khiêm,THPT Nguyễn Bỉnh Khiêm
26643,Trường THPT dao duy tu,Trường THPT Đào Duy Từ,THPT Đào Duy Từ
26644,pho thong dtnt Trường THCS-THPT huyen cu jut,Trường THPT DTNT Trường THCS-THPT huyện Cư Jút,THPT DTNT Trường THCS-THPT huyện Cư Jút
26645,Trường THPT dak song,Trường THPT Đăk Song,THPT Đăk Song
26646,tt gdnn gdtx dak song,TT GDNN-GDTX Đăk Song,GDNN-GDTX Đăk Song
26647,Trường THPT phan dinh phung,Trường THPT Phan Đình Phùng,THPT Phan Đình Phùng
26648,pho thong dtnt Trường THCS-THPT huyen dak song,Trường THPT DTNT Trường THCS-THPT huyện Đăk Song,THPT DTNT Trường THCS-THPT huyện Đăk Song
26649,Trường THPT luong the vinh,Trường THPT Lương Thế Vinh,THPT Lương Thế Vinh
26650,Trường THPT krong no,Trường THPT Krông Nô,THPT Krông Nô
26651,tt gdnn gdtx krong no,TT GDNN-GDTX Krông Nô,GDNN-GDTX Krông Nô
26652,Trường THPT hung vuong,Trường THPT Hùng Vương,THPT Hùng Vương
26653,Trường THPT tran phu,Trường THPT Trần Phú,THPT Trần Phú
26654,pho thong dtnt Trường THCS-THPT huyen krong no,Trường THPT DTNT Trường THCS-THPT huyện Krông Nô,THPT DTNT Trường THCS-THPT huyện Krông Nô
26655,Trường THPT dak glong,Trường THPT Đăk Glong,THPT Đăk Glong
26656,pho thong dtnt Trường THCS-THPT huyen dak glong,Trường THPT DTNT Trường THCS-THPT huyện Đăk Glong,THPT DTNT Trường THCS-THPT huyện Đăk Glong
26657,Trường THPT le duan,Trường THPT Lê Duẩn,THPT Lê Duẩn
26658,Trường THPT le quy don,Trường THPT Lê Quý Đôn,THPT Lê Quý Đôn
26659,tt gdnn gdtx tuy duc,TT GDNN-GDTX Tuy Đức,GDNN-GDTX Tuy Đức
26660,pho thong dtnt Trường THCS-THPT huyen tuy duc,Trường THPT DTNT Trường THCS-THPT huyện Tuy Đức,THPT DTNT Trường THCS-THPT huyện Tuy Đức
26661,so gd va dt hau giang,Sở GD và ĐT Hậu Giang,Sở GD và ĐT Hậu Giang
26662,Trường THPT vi thanh,Trường THPT Vị Thanh,THPT Vị Thanh
26663,phong giao duc thanh pho vi thanh,Phòng Giáo dục thành phố Vị Thanh,Phòng Giáo dục thành phố Vị Thanh
26664,Trường THPT chiem thanh tan,Trường THPT Chiêm Thành Tấn,THPT Chiêm Thành Tấn
26665,tt gdtx thanh pho vi thanh,TT GDTX thành phố Vị Thanh,GDTX thành phố Vị Thanh
26666,Trường THPT chuyen vi thanh,Trường THPT chuyên Vị Thanh,THPT chuyên Vị Thanh
26667,tc nghe tinh hau giang,TC nghề tỉnh Hậu Giang,TC nghề tỉnh Hậu Giang
26668,tt gdtx tinh hau giang,TT GDTX tỉnh Hậu Giang,GDTX tỉnh Hậu Giang
26669,truong trung cap ky thuat cong nghe tinh hau giang,Trường Trung cấp Kỹ thuật-Công nghệ tỉnh Hậu Giang,TC Kỹ thuật-Công nghệ tỉnh Hậu Giang
26670,truong cao dang cong dong hau giang,Trường Cao Đẳng Cộng đồng Hậu Giang,Cao Đẳng Cộng đồng Hậu Giang
26671,Trường THPT vi thuy,Trường THPT Vị Thủy,THPT Vị Thủy
26672,phong giao duc h vi thuy,Phòng Giáo dục H. Vị Thủy,Phòng Giáo dục H. Vị Thủy
26673,Trường THPT le hong phong,Trường THPT Lê Hồng Phong,THPT Lê Hồng Phong
26674,tt gdtx h vi thuy,TT GDTX H. Vị Thuỷ,GDTX H. Vị Thuỷ
26675,Trường THPT vinh tuong,Trường THPT Vĩnh Tường,THPT Vĩnh Tường
26676,tt gdnn gdtx h vi thuy,TT GDNN-GDTX H. Vị Thuỷ,GDNN-GDTX H. Vị Thuỷ
26677,truong trung cap luat vi thanh,Trường Trung cấp Luật Vị Thanh,TC Luật Vị Thanh
26678,truong trung cap kinh te ky thuat tinh hau giang,Trường Trung cấp Kinh tế-Kỹ thuật tỉnh Hậu Giang,TC Kinh tế-Kỹ thuật tỉnh Hậu Giang
26679,Trường THPT long my huyen lm,Trường THPT Long Mỹ ,THPT Long Mỹ
26680,Trường THPT tay do,Trường THPT Tây Đô,THPT Tây Đô
26681,phong giao duc h long my,Phòng Giáo dục H. Long Mỹ,Phòng Giáo dục H. Long Mỹ
26682,pho thong dan toc noi tru huyen lm,Trường THPT Dân tộc nội trú ,THPT Dân tộc nội trú
26683,Trường THPT tan phu huyen lm,Trường THPT Tân Phú ,THPT Tân Phú
26684,tt gdtx long my,TT GDTX Long Mỹ,GDTX Long Mỹ
26685,Trường THPT luong tam,Trường THPT Lương Tâm,THPT Lương Tâm
26686,Trường THPT tay do tu 01 05 2019,Trường THPT Tây Đô,THPT Tây Đô
26687,tt gdnn gdtx h long my,TT GDNN-GDTX H. Long Mỹ,GDNN-GDTX H. Long Mỹ
26688,Trường THPT luong the vinh,Trường THPT Lương Thế Vinh,THPT Lương Thế Vinh
26689,Trường THPT cay duong,Trường THPT Cây Dương,THPT Cây Dương
26690,Trường THPT tan long,Trường THPT Tân Long,THPT Tân Long
26691,phong giao duc h phung hiep,Phòng Giáo dục H. Phụng Hiệp,Phòng Giáo dục H. Phụng Hiệp
26692,tt gdtx h phung hiep,TT GDTX H. Phụng Hiệp,GDTX H. Phụng Hiệp
26693,Trường THPT hoa an,Trường THPT Hòa An,THPT Hòa An
26694,tt gdnn gdtx h phung hiep,TT GDNN-GDTX H. Phụng Hiệp,GDNN-GDTX H. Phụng Hiệp
26695,Trường THPT nga sau,Trường THPT Ngã Sáu,THPT Ngã Sáu
26696,phong giao duc h chau thanh,Phòng Giáo dục H. Châu Thành,Phòng Giáo dục H. Châu Thành
26697,tt gdtx h chau thanh,TT GDTX H. Châu Thành,GDTX H. Châu Thành
26698,Trường THPT phu huu,Trường THPT Phú Hữu,THPT Phú Hữu
26699,cd nghe tran dai nghia,CĐ Nghề Trần Đại Nghĩa,CĐ Nghề Trần Đại Nghĩa
26700,tt gdnn gdtx h chau thanh,TT GDNN-GDTX H. Châu Thành,GDNN-GDTX H. Châu Thành
26701,Trường THPT tam vu,Trường THPT Tầm Vu,THPT Tầm Vu
26702,Trường THPT cai tac,Trường THPT Cái Tắc,THPT Cái Tắc
26703,Trường THPT chau thanh a,Trường THPT Châu Thành A,THPT Châu Thành A
26704,phong giao duc h chau thanh a,Phòng Giáo dục H. Châu Thành A,Phòng Giáo dục H. Châu Thành A
26705,tt gdtx h chau thanh a,TT GDTX H. Châu Thành A,GDTX H. Châu Thành A
26706,Trường THPT truong long tay,Trường THPT Trường Long Tây,THPT Trường Long Tây
26707,tt gdnn gdtx h chau thanh a,TT GDNN-GDTX H. Châu Thành A,GDNN-GDTX H. Châu Thành A
26708,Trường THPT nguyen minh quang,Trường THPT Nguyễn Minh Quang,THPT Nguyễn Minh Quang
26709,phong giao duc thi xa nga bay,Phòng Giáo dục Thị xã Ngã Bảy,Phòng Giáo dục Thị xã Ngã Bảy
26710,tt gdtx thi xa nga bay,TT GDTX thị xã Ngã Bảy,GDTX thị xã Ngã Bảy
26711,Trường THPT le quy don,Trường THPT Lê Quý Đôn,THPT Lê Quý Đôn
26712,tc nghe nga bay,TC nghề Ngã Bảy,TC nghề Ngã Bảy
26713,Trường THPT nguyen minh quang,Trường THPT Nguyễn Minh Quang,THPT Nguyễn Minh Quang
26714,tt gdnn gdtx thi xa nga bay,TT GDNN-GDTX thị xã Ngã Bảy,GDNN-GDTX thị xã Ngã Bảy
26715,Trường THPT le quy don,Trường THPT Lê Qúy Đôn,THPT Lê Qúy Đôn
26716,phong giao duc thi xa long my huyen lm,Phòng Giáo dục thị xã Long Mỹ ,Phòng Giáo dục thị xã Long Mỹ
26717,Trường THPT long my,Trường THPT Long Mỹ,THPT Long Mỹ
26718,pho thong dan toc noi tru,Trường THPT Dân tộc nội trú,THPT Dân tộc nội trú
26719,Trường THPT tan phu,Trường THPT Tân Phú,THPT Tân Phú
26720,tt gdtx long my,TT GDTX Long Mỹ,GDTX Long Mỹ
26721,phong giao duc thi xa long my,Phòng Giáo dục thị xã Long Mỹ,Phòng Giáo dục thị xã Long Mỹ
26722,tt gdnn gdtx tx long my,TT GDNN-GDTX TX Long Mỹ,GDNN-GDTX TX Long Mỹ
26723,Trường THPT nguyen minh quang tu 01 02 2020,Trường THPT Nguyễn Minh Quang,THPT Nguyễn Minh Quang
26724,tt gdnn gdtx thanh pho nga bay tu 01 02 2020,TT GDNN-GDTX thành phố Ngã Bảy,GDNN-GDTX thành phố Ngã Bảy
26725,Trường THPT le quy don tu 01 02 2020,Trường THPT Lê Qúy Đôn,THPT Lê Qúy Đôn
26726,truong dai hoc van hoa nghe thuat quan doi,Trường Đại học văn hóa nghệ thuật Quân đội,Đại học văn hóa nghệ thuật Quân đội
26727,truong cao dang nghe so 8,Trường Cao Đẳng nghề Số 8,Cao Đẳng nghề Số 8
26728,Trường phục hồi nhân phẩm bình triệu,TT cai nghiện ma túy Bình Triệu,cai nghiện ma túy Bình Triệu
26729,Truong Trường THCS Tân Phú Đông,Trường THCS Tân Phú,THCS Tân Phú
26730,pho thong thanh dong,Trường THPT Thành Đông,THPT Thành Đông
26731,Trường ĐẠI HỌC LUẠT HG,Trường Đại học Luật Hà Nội,Đại học Luật Hà Nội
26732,Trường THCS Quảng Thuỷ,Trường TH-THCS Quảng Thủy,TH-THCS Quảng Thủy
26733,Trường THCS vân nham,Trường THCS Vân Nham,THCS Vân Nham
26734,Truong trung hoc PHPT so 2 quang trach,Trường THPT Số 2 Quảng Trạch,THPT Số 2 Quảng Trạch
26735,Trường THPT hồg đức ninh gjang,Trường THPT Hồng Đức,THPT Hồng Đức
26736,Mãi yêu Trường THCS Nguyễn Tự Tân,Trường THCS Nguyễn Tự Tân,THCS Nguyễn Tự Tân
26737,truong trung hoc cs dan ly,Trường THCS Dân Lý,THCS Dân Lý
26738,Trường THPT hh so 3,Trường THPT Hiệp Hòa số 3,THPT Hiệp Hòa số 3
26739,Trung hoc co so Dong Xuan,Trường THCS Đông Xuân,THCS Đông Xuân
26740,Truong  trung cap nghiep vu ke hoach 3 nien khoa 1988-1990,Trường trung cấp kỹ thuật nghiệp vụ Hải Phòng,TC kỹ thuật nghiệp vụ Hải Phòng
26741,truong trung hoc co so va trung pho thong my quy,Trường THCS-THPT Mỹ Quý,THCS-THPT Mỹ Quý
26742,Dang hoc cao dang kinh te ki thuat thuong mai hn,Cao Đẳng Kinh tế - Kỹ Thuật Thương mại,Cao Đẳng Kinh tế - Kỹ Thuật Thương mại
26743,Nhơn Mỹ 1,Trường trung học Nhơn Mỹ 1,trung học Nhơn Mỹ 1
26744,dai hoc bach khoa,Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
26745,CĐ nghề PY,Trường Cao Đẳng Nghề Phú Yên,Cao Đẳng Nghề Phú Yên
26746,Trường THCS Tân Thanh Tây,Trường THCS Tân Thanh Tây,THCS Tân Thanh Tây
26747,"Truong TH,Trường THCS TRUNG LAP",Trường THCS Trung Lập,THCS Trung Lập
26748,trung hoc pho thong thanh liem,Trường THPT B Thanh Liêm,THPT B Thanh Liêm
26749,Trường THCS BÌNH AN,Trường THCS Bình An,THCS Bình An
26750,Hong thai hight school,Trường THPT Phạm Hồng Thái,THPT Phạm Hồng Thái
26751,BC TRẦN PHÚ,Trường THPT Bán Công Trần Phú,THPT Bán Công Trần Phú
26752,Trường THCS bu nko,Trường THCS Bù Nho,THCS Bù Nho
26753,A7. PTTH Nam Truc,Trường THPT Nam Trực,THPT Nam Trực
26754,truong cao dang kinh te ki thuat,Trường Cao Đẳng Kinh Tế - Kỹ Thuật,Cao Đẳng Kinh Tế - Kỹ Thuật
26755,Trường cao ₫ẳng phương ₫ông ₫à nẵng,Trường Cao Đẳng Phương Đông Đà Nẵng,Cao Đẳng Phương Đông Đà Nẵng
26756,Trường THPT Bát Trung,Trường THPT Bát Trung,THPT Bát Trung
26757,PT chuyên Hoang le kha,Trường THPT Chuyên Hoàng Lê Kha,THPT Chuyên Hoàng Lê Kha
26758,Trường THPT le thanh tong aynpa,Trường THPT Lê Thánh Tông,THPT Lê Thánh Tông
26759,Trường THPT ly bôn,Trường THPT Lý Bôn,THPT Lý Bôn
26760,Trường THPT Việt yên 2 Bac Giang,Trường THPT Việt Yên số 2,THPT Việt Yên số 2
26761,Truong trung hoc co so Chau Van Liem,Trường THCS Châu Văn Liêm,THCS Châu Văn Liêm
26762,Tung hoc Trường THPT phu bai,Trường THPT Phú Bài,THPT Phú Bài
26763,HCMC University of pegolody,Trường Đại học Sư phạm TP.HCM,Đại học Sư phạm TP.HCM
26764,Đại Học Lâm Nghiệp Quốc Gia Việt Nam,Trường Đại học Lâm nghiệp,Đại học Lâm nghiệp
26765,thph vinh tuy,Trường THPT Vĩnh Tuy,THPT Vĩnh Tuy
26766,Trường THCS hành Phước,Trường THCS Hành Phước,THCS Hành Phước
26767,Trường THCS Đức Long,Trường THCS Đức Long,THCS Đức Long
26768,Trường THPT Thuan Hoa,Trường THPT Thuận Hoà,THPT Thuận Hoà
26769,DHQG HN ABC,Đại học Quốc gia Hà Nội,Đại học Quốc gia Hà Nội
26770,Viện Đào tạo sau đại học Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
26771,Nong Lam U,Trường Đại học Nông Lâm TP.HCM,Đại học Nông Lâm TP.HCM
26772,Học Viện Báo Chí Và Tuyên Truyền,Học viện Báo chí và Tuyên truyền,Học viện Báo chí và Tuyên truyền
26773,trung hoc pho thong dan lap giao thuy,Trường THPT Giao Thủy,THPT Giao Thủy
26774,Truong Trường THPT Cam thuy,Trường THPT Cẩm Thủy 1,THPT Cẩm Thủy 1
26775,CĐ Kinh Tế Kỹ Thuật Công Nghiệp 2,Cao Đẳng Kinh tế Kỹ thuật Công nghiệp II,Cao Đẳng Kinh tế Kỹ thuật Công nghiệp II
26776,Đai Học CNTP,Trường Đại học Công nghiệp Thực phẩm TP.HCM,Đại học Công nghiệp Thực phẩm TP.HCM
26777,Trường THCS BÙI HỮU NGHĨA,Trường THCS Bùi Hữu Nghĩa,THCS Bùi Hữu Nghĩa
26778,HCMUS,Trường Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM,Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM
26779,Trường THCS Chuyen Kon Tum,Trường THPT Chuyên Nguyễn Tất Thành Kon Tum,THPT Chuyên Nguyễn Tất Thành Kon Tum
26780,TPTDTBT-Trường THCS Nậm Ban-Mèo Vạc,Trường THPTDTBT Trường THCS Nậm Ban,THPTDTBT Trường THCS Nậm Ban
26781,Đại Học Kinh Tế Huế K38 QTKD,Trường đại học Kinh tế - Đại học Huế,đại học Kinh tế - Đại học Huế
26782,đã học Trường THCS Biên Sơn,Trường THCS Biên Sơn,THCS Biên Sơn
26783,TRƯỜNG TRUNG HOC CƠ SỞ VIỆT THẮNG,Trường THCS Việt Thắng,THCS Việt Thắng
26784,truong trung hoc vinh hung,Trường THPT Vĩnh Hưng,THPT Vĩnh Hưng
26785,Truong Trường THPT Luong The Vinh Hau Giang,Trường THPT Lương Thế Vinh,THPT Lương Thế Vinh
26786,Truong Trường THCS na muong,Trường TH-THCS Nà Mường,TH-THCS Nà Mường
26787,TT GDTX Quỳnh Phụ II,TT GDTX 2 Quỳnh Phụ,GDTX 2 Quỳnh Phụ
26788,Trường Cao Đẳng công nghệ và kinh tê đối ngoai,Trường Trung cấp Công nghệ và Kinh tế Đối ngoại,TC Công nghệ và Kinh tế Đối ngoại
26789,truong dai hoc nha trang,Trường Đại học Nha Trang,Đại học Nha Trang
26790,"Trường THPTTH Ngô Gia Tự, EarKar, DakLak",Trường THPT Ngô Gia Tự,THPT Ngô Gia Tự
26791,truong trung hoc pho thong con tien,Trường THPT Cồn Tiên,THPT Cồn Tiên
26792,Đại Học Kinh tế kĩ thuật công nghiệp,Trường Đại học Kinh tế Kỹ thuật Công nghiệp,Đại học Kinh tế Kỹ thuật Công nghiệp
26793,Trường THPT dphuc,Trường THPT Đa Phúc,THPT Đa Phúc
26794,đã từng học tại Trường THPT sơn động số2,Trường THPT Sơn Động số 2,THPT Sơn Động số 2
26795,Truong ptdtnt dak ha,Trường THPT DTNT Đăk Hà,THPT DTNT Đăk Hà
26796,Dang hoc trung cap Ke toan -Tai chinh tai truong CD Cong nghiep Hung Yen,Cao Đẳng Công nghiệp Hưng Yên,Cao Đẳng Công nghiệp Hưng Yên
26797,Trường THPTt Minh châu,Trường THPT Minh Châu,THPT Minh Châu
26798,Trường THCS vô Điếm,Trường THCS Vô Điếm,THCS Vô Điếm
26799,Dai Hoc Dong Ri,Trường Đại học Đông Đô,Đại học Đông Đô
26800,Trường trung cấp lâm nghiệp Gia Lai,Trường Trung Cấp Lâm Nghiệp Tây Nguyên,TC Lâm Nghiệp Tây Nguyên
26801,Truong Tieu Hoc Kim Dong,Trường TH Kim Đồng,TH Kim Đồng
26802,Trường THPTTH Thanh Miện 2,Trường THPT Thanh Miện II,THPT Thanh Miện II
26803,Trường THPT Hung Vuong Binh Dinh,Trường THPT Hùng Vương,THPT Hùng Vương
26804,Trường THPT Quảng Trọng Hoàng,Trường THPT Quản Trọng Hoàng,THPT Quản Trọng Hoàng
26805,Khoa học xã hội và nhân văn HCM,Trường Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
26806,truong cao dang ANG NHAU QUOC TE,Trường Cao Đẳng Quốc tế,Cao Đẳng Quốc tế
26807,trung học phổ thông Quỳnh Lưu 4,Trường THPT Quỳnh Lưu 4,THPT Quỳnh Lưu 4
26808,Trường THPT Nguyễn Thị Minh Khai,Trường THPT Nguyễn Thị Minh Khai,THPT Nguyễn Thị Minh Khai
26809,Chuyen Tuyen Quang K17 (2003-2006),Trường THPT Chuyên Tuyên Quang,THPT Chuyên Tuyên Quang
26810,Trường PTTH Chuyên Nguyễn Du,Trường THPT Chuyên Nguyễn Du,THPT Chuyên Nguyễn Du
26811,Trường THCS Nguyên Trj Phương,Trường THCS Nguyễn Tri Phương,THCS Nguyễn Tri Phương
26812,Trường THPT Lê Thánh Tông,Trường THPT Lê Thánh Tông,THPT Lê Thánh Tông
26813,"Trường THCS Hoàng Diệu Đắk Rla, Đắk Mil, Đắc Nông",Trường THCS Hoàng Diệu,THCS Hoàng Diệu
26814,Khoa hoc Tu nhjen,Đại học Khoa học Tự nhiên,Đại học Khoa học Tự nhiên
26815,Pham Hong Thai High School,Trường THPT Phạm Hồng Thái,THPT Phạm Hồng Thái
26816,Truong Trường THPT Cong nghiep Viet tri,Trường THPT Công nghiệp Việt Trì,THPT Công nghiệp Việt Trì
26817,CĐ Su Pham BR_VT,Trường Cao Đẳng Sư phạm Bà Rịa Vũng Tàu,Cao Đẳng Sư phạm Bà Rịa Vũng Tàu
26818,TT hướng nghiệp và GDTX huyện vân đồn,TT Hướng Nghiệp Và GDTX Huyện Vân Đồn,Hướng Nghiệp Và GDTX Huyện Vân Đồn
26819,trung hoc pho thog ham thuan nam,Trường THPT Hàm Thuận Nam,THPT Hàm Thuận Nam
26820,Trường THPT Van Chan _ Yen Baj,Trường THPT Văn Chấn - Yên Bái,THPT Văn Chấn - Yên Bái
26821,Trường Trường THPT Phạm Văn Đồng,Trường Trường THPT Phạm Văn Đồng,Trường THPT Phạm Văn Đồng
26822,nguyễn thái bình- đức trọng,Trường THPT Nguyễn Thái Bình,THPT Nguyễn Thái Bình
26823,Cao Đăngc Kinh Tế Tài Chính Thái Nguyên,Trường Cao Đẳng kinh tế - tài chính Thái Nguyên,Cao Đẳng kinh tế - tài chính Thái Nguyên
26824,TRU0NG CAO DANG KINH TE DOI NGOAI TPHCM,Trường Cao Đẳng Kinh Tế Đối Ngoại,Cao Đẳng Kinh Tế Đối Ngoại
26825,"TT GDQP, AN Đại học Huế",TT Giáo dục Quốc phòng và An ninh - Đại học Huế,Giáo dục Quốc phòng và An ninh - Đại học Huế
26826,Đại học Mỹ Tho,Trường Đại học Tiền Giang,Đại học Tiền Giang
26827,Trường THCS lí nhật quang,Trường THCS Lý Nhật Quang,THCS Lý Nhật Quang
26828,Trường THCS CL Phan Bội Châu,Trường THCS CL Phan Bội Châu,THCS CL Phan Bội Châu
26829,TT Dạy Nghề Phước Lộc,TT Dạy Nghề Phước Lộc,Dạy Nghề Phước Lộc
26830,truong tc yte ninh thuan,Trường Trung cấp Y tế Ninh Thuận,TC Y tế Ninh Thuận
26831,Trường THPT gò wao,Trường THPT Gò Quao,THPT Gò Quao
26832,truong Trường THPTdtnt tra vinh,Trường THPT Dân Tộc Nội Trú Trường THPT Trà Vinh,THPT Dân Tộc Nội Trú Trường THPT Trà Vinh
26833,cao dang nghe giao thong van tai tw1,Trường Cao Đẳng Giao thông vận tải Trung ương I,Cao Đẳng Giao thông vận tải Trung ương I
26834,Khoi chuyen toan tin DHKHTN Ha Noi,Trường THPT chuyên Khoa học Tự nhiên,THPT chuyên Khoa học Tự nhiên
26835,truong Trường THPT vu van hieu,Trường THPT Vũ Văn Hiếu,THPT Vũ Văn Hiếu
26836,"Trường THPTTH Phú Mỹ, Tân Thành, BRVT",Trường THPT Phú Mỹ,THPT Phú Mỹ
