text,normed_text
Truong pho thong ham tan,THPT Hàm Tân
Trường THPT Nghia Hưng A Nam Đinh,THPT Nghĩa Hưng
THPT Do Dang Tuyen,THPT Đỗ Đăng Tuyển
THPT PHAN DANG LUU DAKLAK,THPT Phan Đăng Lưu
đại học sư phạm thành phố hồ chí minn,ĐH Sư phạm TP.HCM
Trường THPT Tắc Vân-Cà Mau,THPT Tắc Vân
Trường THPT TP.Sa Đéc,THPT TP Sa Đéc
THPT Hoàng Hoa Thám Quảng Bình,THPT Hoàng Hoa Thám
truong trung hoc pho thong buon don,THPT Buôn Đôn
UD-CK,ĐH Đà Nẵng
đại học ngoại thương cơ sở quảng ninh,ĐH Ngoại thương
cao đẳng quân y1,CĐ Quân Y
ba ria vung tau universty,ĐH Bà Rịa Vũng Tàu
Hoc Vien Hang Khong,HV Hàng không Việt Nam
lương văn tuỵ ninh bình,THPT chuyên Lương Văn Tụy
tt gd dn tuyen hoa,GDNN-GDTX Tuyên Hoá
đại học backs khoa hà nội,ĐH Bách khoa Hà Nội
Trường Cao Đẳng Kinh Tế Công Nghiệp Hà Nội,CĐ Kinh tế Công nghiệp Hà Nội
Trường THCS-THPT khai tri,THCS-THPT Khai Trí
đại học ngoại ngữ thanh xuân,ĐH Hà Nội
đại học tài nguyên va môi tường hà nội,ĐH Tài nguyên và Môi trường Hà Nội
cao dang hong lam,CĐ Quốc tế
Trường THPT Tháng 10,THPT Tháng Mười
Trường THPT Trưng Vương,THPT Trưng Vương
CĐ Du Lịch Đà Nẵng,CĐ Du Lịch Đà Nẵng
đhsp ky thuật vinh,ĐH Sư Phạm Kỹ Thuật Vinh
truong thpt tat van,THPT Trần Tất Văn
Thpt-Trieu Phong.Quang Tri,THPT Triệu Phong
Trường THPT luc khu,THPT Lục Khu
Phổ Thông Cần Giuộc,THPT Cần Giuộc
trung học phổ thông nghi lộc 2,THPT Nghi Lộc
cao dang co khi nong nghiep,CĐ cơ khí nông nghiệp
Trung hoc pho thong phan chu trinh TP. phan thiet,THPT Phan Chu Trinh
Cao dang cong nghiep tran hung dao,CĐ Nghề Công nghiệp Hà Nội
cao đẳng y dược - cần thơ university,CĐ Y tế Cần Thơ
trung tam dn hn va gdtx can loc,GDNN-GDTX Can Lộc
cao dang hang hang 1,CĐ Hàng Hải
TTrường THPT thixa phuoc long,THPT Phước Long
đại học sư phạm tdtt ha tay,ĐH Sư Phạm Thể Dục Thể Thao
Truong THPT Truc Ninh B,THPT Trực Ninh
University Of Architecture HCMC,ĐH Kiến Trúc TP.HCM
cao dang kinh te cong nghiep,CĐ Kinh Tế Công Nghiệp Hà Nội
Trung hoc pho thong tho xuan 4,THPT Thọ Xuân
CDSP TT Hue,CĐ Sư phạm Huế
cao đẳng cộng động kiên giang,CĐ Kiên Giang
THPT Huong Tra,THPT Hương Trà
DH Kinh Te TP HCM,ĐH Kinh tế TP.HCM
Tại trường thpt bảolâm,THPT Bảo Lâm
cao dang cao thang,CĐ Kỹ thuật Cao Thắng
cao đẳng sư phạn thái nguyên,CĐ Sư phạm Thái Nguyên
cao đẳng sp tây ninh,CĐ Sư Phạm Tây Ninh
Truong CD Phuong Dong Da Nang,CĐ Phương Đông Đà Nẵng
cao dang y te thaj bjnh,CĐ Y tế Thái Bình
PTTH Trấn Yên,THPT Lê Qúy Đôn
"THPT Lý thường Kiệt, Hòa Thành Tây Ninh",THPT Lý Thường Kiệt
Trường THPT an lac,THPT An Lạc
trung học phổ thông ngô sĩ liên,THPT Ngô Sỹ Liên
THPT Ngô Gia Tự Tây Ninh,THPT Ngô Gia Tự
cao dang cong ngjep dmtt hnoi,CĐ nghề Công nghiệp Hà Nội
ĐH Công nghệ Thông tin TPHCM,ĐH Công nghệ Thông tin - ĐH Quốc gia TP.HCM
trường PTTH Phú Quốc,THPT Phú Quốc
cao dang cong nghiep4,ĐH Công nghiệp TP.HCM
Trường trung hoc phổ thông hương khê,THPT HƯƠNG KHÊ
đại học hiu,ĐH Quốc Tế Hồng Bàng
trung học phổ thông C nghĩa hưng,THPT Nghĩa Hưng
cao dang cog dong,CĐ cộng đồng
Trường THCS-THPT cua viet,THCS-THPT Cửa Việt
ĐẠi học Công nghệ thông tin và Truyền thông - Đh Thái Nguyên,ĐH Công nghệ Thông tin Truyền thông Thái Nguyên
Truong THPT Nguyen Hue-Eatoh-Dak Lak,THPT Nguyễn Huệ
cao dang cong nghiep xay dung,CĐ Công nghiệp và Xây dựng
Trường Trung Học Phổ Thông Thạnh Mỹ Tây.,THPT Thạnh Mỹ Tây
cao dang nghe qu,CĐ Kỹ Thuật Công Nghệ Quy Nhơn
"đại học su phạm kỹ thuật - thủ đuc, tp. hcm",ĐH Sư phạm Kỹ thuật TP.HCM
đại học hunre,ĐH Tài nguyên và Môi trường Hà Nội
cao đẳng truyen hinh,CĐ Truyền hình
Trường THPT Ngô Quyền- ba vì,THPT Ngô Quyền
T32-HVCSND,HV Cảnh Sát Nhân Dân
THPT Ba Điêm,THPT Bà Điểm
truong THPT Kim Xuyen,THPT Kim Xuyên
DaNang College Technology (Cao Đẳng Công Nghệ - Đà Nẵng),CĐ Công nghệ Thông tin - ĐH Đà Nẵng
DH KTKT CÔNG NGHIỆP,ĐH Kinh tế Kỹ thuật Công nghiệp
Cao Đẳng Truyền Hình - Thường Tín,CĐ Truyền hình
đại học sư phạm hoa trung,ĐH Sư phạm Hoa Trung
đhkh- hue,ĐH Khoa học Huế
đại học ryutsu keizai,ĐH Ryutsu Keizai
Trường DH Mỹ Thuật Công Nghiệp Hà Nội,ĐH Mỹ thuật Công nghiệp
đại học công nghệ thông tin-đh quốc gia tp.hồ chí minh,ĐH Công nghệ Thông tin – ĐH Quốc Gia TP.HCM
Sĩ Quan Công Binh ( ĐH Ngô Quyền ),ĐH Ngô Quyền
Trường Cao Đẳng GTVT Miền Trung,CĐ Giao thông Vận tải Trung ương
cao dang du lich vung,CĐ Du lịch Vũng Tàu
đại học y ha noi,ĐH Y Hà Nội
đại học sư phạm kĩ thật nam điịnh,ĐH Sư phạm Kỹ thuật Nam Định
cd công nghiêp nd,CĐ Công nghiệp Nam Định
Trường THPT van ngoc chinh,THPT Văn Ngọc Chính
gdtx tu liem,GDNN-GDTX Từ Liêm
đại học sàigon,ĐH Sài Gòn
truong trung hoc pho thong nguuyen hien,THPT Nguyễn Hiền
THPT 1 Văn Bàn Lào Cai,THPT Văn Bàn
Trường THPT NGUYỄN DUY TRINH,THPT Nguyễn Duy Trinh
cd cong nghjep tn,CĐ Công nghiệp Thái Nguyên
Truong Trường THPT Chuyen Quang Binh,THPT chuyên Võ Nguyên Giáp
Cao Đẳng Mỏ Quảng Ninh,CĐ Nghề Mỏ Hồng Cẩm
đại học xh nhân văn,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia TP.HCM
Đại học kinh tế long an,ĐH Kinh tế Công nghiệp Long An
T.T Giáo Dục Thường Xuyên Q3,GDNN-GDTX TP.HCM
đại học xd hà nôi,ĐH Xây Dựng Hà Nội
đại học sp hcm,ĐH Sư phạm TP.HCM
Trường THPT Kiến An - Hải Phòng,THPT Kiến An
Banking University of Ho Chi Minh City (Trường Đại học Ngân...,ĐH Ngân Hàng TP.HCM
THPT Nguyễn Thị Minh Khai - Lương Sơn - Bắc Bình - Bình Thuận,THPT Nguyễn Thị Minh Khai
cd ky thuat viet duc,CĐ Kỹ Thuật Việt Đức
PTTH Xuân Vinh-XT-NĐ,THPT Xuân Vinh
"THPT Nguyễn Sinh Cung, Phú Vang, Thừa Thiên Huế",THPT Nguyễn Sinh Cung
đh ktqd hn (neu),ĐH Kinh Tế Quốc Dân
nganh bao chi dai hoc su pham da nang,ĐH Sư Phạm - ĐH Đà Nẵng
đh kinh tế - đh huế,ĐH Kinh Tế - ĐH Huế
truong thpt vo giu,THPT Võ Giữ
TRUONG THPH TRAN DAI NGHIA,THPT Chuyên Trần Đại Nghĩa
đại học công nghệ và quản lí hữu nghị hà nội,ĐH Công nghệ Quản lý Hữu Nghị
Trường Cao Đẳng Sư Phạm Vĩnh Phúc,CĐ Vĩnh Phúc
Truong THPT CamXuyen,THPT Cẩm Xuyên
Truong THPT Ly Son,THPT Lý Sơn
Trường THPT vinh binh,THPT Vĩnh Bình
THPT cam thuy1,THPT Cẩm Thủy
đại học dược hải dương,CĐ Dược Trung Ương Hải Dương
đại học công naghiệp hà nội (haui),ĐH Công nghiệp Hà Nội
"Trường THPT Thống Nhất A, Trảng Bom, Đồng Nai.",THPT Thống Nhất
cao dang tai ching hai quan,ĐH Tài chính Marketing
Transport University,ĐH Giao thông Vận tải
đại học giao thông vận tải hà nội (utc),ĐH Giao thông Vận tải
cao đẳng dược tw-hd,CĐ Dược Trung Ương Hải Dương
THPT Hàm Thuận Nam,THPT Hàm Thuận Nam
THPT bc Đốg đa,THPT Đống Đa
cao dang kinh te ctho,CĐ Kinh tế Kỹ thuật Cần Thơ
cao dang kinh ke ky thuat quang nam,CĐ Quảng Nam
Truong THPT Thu Khoa Huan,THPT Thủ Khoa Huân
Trung hoc pho thong LAI UYEN BEN CAT,THPT Bàu Bàng
thpt hung vuong -duc linh-binh thuan,THPT Hùng Vương
DTNT Tra Vinh,THPT DTNT Trà Vinh
Trung Học Phổ Thông Nguyễn Hiền,THPT Nguyễn Hiền
cao đẳng ngoại thương,CĐ Kinh Tế Đối Ngoại
Thoai Ngoc Hau Specialized High School,THPT chuyên Thoại Ngọc Hầu
cao dang tai nguyen va moi truong mien trung,ĐH Tài Nguyên Môi Trường Hà Nội
Truong thpt an thanh 3,THPT An Thạnh
"THPT BC Duy Tân, Thành phố Kon Tum",THPT Duy Tân
Truong THPT Dakrong,THPT Đakrông
"Trường  C3 Mỹ Tho, Ý Yên, Nam Đình",THPT Mỹ Tho
đại học cntn,ĐH Công nghệ Thông tin – ĐH Quốc Gia TP.HCM
đại học kh xã hội và nhân văn hà nội,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia Hà Nội
Trường Cao Đẳng và thủy lợi,CĐ Cơ giới và Thủy Lợi
Trường TH - THCS - THPT Văn Lang,THCS-THPT Văn Lang
Tường THPT Bán Công Đồng Hới,THPT Phan Đình Phùng
Trường THCS Phuong nam,THPT Phương Nam
nguyen khuyen highschool,THPT Nguyễn Khuyến
THPT Nguyễn Hữu Tiến,THPT Nguyễn Hữu Tiến
Assumption University of Thailand,ĐH Bà Rịa Vũng Tàu
cao đẳng cộng đồng hà nôi,CĐ Cộng đồng Hà Nội
HVNH,HV Ngân Hàng
Truong THPT Cai Tac,THPT Cái Tắc
Trường THPT Trần Nhân Tông - Mạo Khê - Đông Triều - Quảng Ninh,THPT Trần Nhân Tông
Trường THPT Trung An,THPT Trung An
truong Trường THPT so 2 duc pho tu 01 02 2020,THPT Đức Phổ
tc bach khoa sai gon,TC Bách Khoa Sài Gòn
cao dang nghe thuat da nang,CĐ Văn hóa Nghệ thuật Đà Nẵng
đại học ngoại ngữ- đại học quốc gia hn,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
Phổthông hiệp hòa 3,THPT Hiệp Hòa
Trường THPT Trần Hưng Đạo-Hội An-Quảng Nam,THPT Trần Hưng Đạo
cao dang công nghiệp hưng yên,CĐ Công nghiệp Hưng Yên
cao dang ktkt thuong mai,CĐ Kinh tế Kỹ thuật Thương mại
THPT Kim Bảng B,THPT Kim Bảng
Trung hoc pho thong minh dam,THPT Minh Đạm
truong thpt buon ho,THPT Buôn Hồ
"cao dang cong nghiep 4 go vap,tphcm",ĐH Công nghiệp TP.HCM
Trường THPT Hoàng Thái Hiếu BM_VL,THPT Hoàng Thái Hiếu
cao đẳng kinh tế kỹ thật thái nguyên.,CĐ Kinh Tế Kỹ Thuật Thái Nguyên
THPT HỒNG BÀNG,THPT Hồng Bàng
cd du lich nha trang,CĐ Du Lịch Nha Trang
đh-hh,ĐH Hàng hải Việt Nam
"Truong THPT Thanh Hoa,Thanh Hoa,Long An",THPT Thạnh Hoá
đại học nghệ thuật yewon,ĐH nghiên cứu tổng hợp kỹ thuật quốc gia Irkutsk
cao đẳng cơ điện xây dựng bn,CĐ Cơ điện và Xây Dựng Bắc Ninh
cao dang su fam gialai,CĐ Sư phạm Gia Lai
Dai Hoc Dong A,ĐH Đông Á
đh trưng vương,ĐH Trưng Vương
trung tam gdnn gdtx huyen chau thanh,GDNN-GDTX Châu Thành
Trường THPT Ninh Thạnh Lợi,THPT NINH THẠNH LỢI
Trường THPT Tam Đảo 1,THPT Tam Đảo
cd kinh tế kỹ thuật  hcm,CĐ Kinh tế Kỹ thuật TP.HCM
trung tam gdnn gdtx huyen cat tien,GDNN-GDTX Cát Tiên
Trường THPT Chuyên Đại học Sư phạm,THPT Chuyên ĐH Sư phạm Hà Nội
Trường Cao Đẳng Kinh Tế - Kỹ Thuật Thương Mại,CĐ Kinh tế Kỹ thuật Thương mại
Trường THPT - DTNT QUỲ HỢP 3,THPT Quỳ hợp
trung hoc pho thong duc hue,THPT Đức Huệ
DAJ HOC MO TP.HCM,ĐH Mở TP.HCM
DH My thuat cong nghiep Ha Noi,ĐH Mỹ thuật Công nghiệp
Truong Dh Cong Nghiep 4,ĐH Công nghiệp TP.HCM
Trung cap ky tkuat Cong Binh,TC kỹ thuật Công binh
cao dang su pham tp. hcm,CĐ Sư phạm Trung ương TP.HCM
đại học công nghệ giao thông,ĐH Công nghệ Giao thông Vận tải
Trường THPT Số II An Nhơn,THPT An Nhơn
THPT Viet Au,THPT Việt Âu
BVU - Trường đại học Bà Rịa Vũng Tàu,ĐH Bà Rịa Vũng Tàu
đại học mởi tphcm,ĐH Mở TP.HCM
Trường PTTH Cao Lãnh 2,THPT Cao Lãnh
Đại học Khoa Học Tự Nhiên (ĐH Quốc gia Hà Nội),ĐH Khoa học Tự nhiên - ĐH Quốc Gia Hà Nội
thph thai phien tp da nang,THPT Thái Phiên
Trường trung hoc vinh hoa hung bắc,THPT Vĩnh Hòa
cao dang hue,CĐ Công nghiệp Huế
Trường THPT Chi Lăng-An Giang,THPT Chi Lăng
Trường THPT Tân Châu,THPT Tân Châu
Đại học Dân Lập Kỹ Thuật Công Nghệ TP.HCM,ĐH Dân Lập Kỹ Thuật Công Nghệ
Trường THPT Chuyên Ban Cẩm Phả,THPT Cẩm Phả
THPT Phương Xá,THPT Phương Xá
Trường THPT lac thuy c,THPT Lạc Thủy
SFL-TNU,ĐH Thái Nguyên
Trường Trung Cấp Tổng Hợp Hà Nôi.,TC Nghề Tổng Hợp Hà Nội
Trường Trung Cấp Quang Trung Tp.hcm,TC Quang Trung
Trường Đại Học Nguyễn Trãi HN,ĐH Nguyễn Trãi
"Trường THPT NGÔ GIA TỰ ,F15,Q8 - TPHCM",THPT Ngô Gia Tự
THPT Cu Lao Dung,THPT Đoàn Văn Tố
Hai Phong University,ĐH Hải Phòng
cao dang nghe ktcn viet nam - han quoc,CĐ Kỹ Thuật Công Nghiệp Việt Nam Hàn Quốc
Văn Hóa Nghệ Thuật Tp. HCM,CĐ Văn hóa Nghệ thuật TP.HCM
DH TDTT TP.HCM CITY,ĐH Thể dục Thể thao TP.HCM
đại học bach khoa đà nẵng,ĐH Bách Khoa - ĐH Đà Nẵng
Trường THPT Nguyễn Văn Cừ (Hóc Môn),THPT Nguyễn Văn Cừ
ĐH Công Nghiệp 4,ĐH Công nghiệp TP.HCM
đại học dược khoa hà nội,ĐH Y Hà Nội
đại học thể thao bắc ninh,ĐH Thể dục Thể thao Bắc Ninh
Trường cao đẳng nghề số 5 Bộ Quốc Phòng QK5,CĐ Nghề Bộ Quốc phòng
cao đẳng thực hành fpt polytechinic - đà nẵng,CĐ FPT Polytechnic Đà Nẵng
cao dang nge yen bai,CĐ nghề Yên Bái
Đại học Paris Diderot - Paris 7,ĐH Paris
đh quốc gia ha noi,ĐH Quốc gia Hà Nội
Trường Đại học Lao động - Xã hội,ĐH Lao động Xã hội
THPT NGAN DUA,THPT Ngan Dừa
THPT Buôn Hồ-ĐăkLăk,THPT Buôn Hồ
THPT Trương Định - Thị Xã Gò Công,THPT Trương Định
Trường Trung Học Phổ Thông Phù Lưu,THPT Phù Lưu
cao đẳng sp hoà bình,CĐ Sư phạm Hòa Bình
Trường THPT Nguyễn Huệ Phú Yên,THPT Nguyễn Huệ
Trường THPT Nguyễn Thái Học,THPT Nguyễn Thái Học
đại học thông tin nha trang,ĐH Thông tin Liên lạc
THPT IASAO,THPT Phạm Văn Đồng
tt gdnn gdtx cho moi,GDNN-GDTX Chợ Mới
Truong  trung cap nghiep vu ke hoach 3 nien khoa 1988-1990,TC kỹ thuật nghiệp vụ Hải Phòng
cao đẳng nghề đất đỏ - vũng tàu,CĐ Kỹ Thuật Công Nghệ Bà Rịa Vũng Tàu
 UAF,ĐH Nông Lâm
Trung học phổ thông Buôn Mê Thuột,THPT Buôn Ma Thuột
Trường Trung học phổ thông Phan Đình Phùng,THPT Phan Đình Phùng
"Trường PTTH Hướng Hóa, Quảng Trị",THPT Hướng Hóa
Trường THPT Nguyễn Hữu Cảnh - Quảng Ninh - Quảng Bình,THPT Nguyễn Hữu Cảnh
trung tam gdnn gdtx huyen son ha,GDNN-GDTX Sơn Hà
đh khxn&nv hn,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia TP.HCM
"THPT Cần Đước, Cần Đước, Long An",THPT Cần Đước
DH Noi vu HN,ĐH Nội Vụ Hà Nội
THPT dân lập Hồng Hà,THPT Hồng Hà
Trường THPT Nguyễn Thị Diệu Sài Gòn,THPT Nguyễn Thị Diệu
Truong THPT An Thanhh 3,THPT An Thạnh
truong thpt nam duyen ha,THPT Nam Duyên Hà
THPT Thanh Khuê,THPT Thanh Khê
đại học sư phạm ha nội 1,ĐH Sư phạm Hà Nội
trường đại học y thái bình,ĐH Y Dược Thái Bình
Trường THPT Cần Thạnh,THPT CẦN THẠNH
gdnn gdtx huyen thanh tri,GDNN-GDTX Thanh Trì
Cao Đẳng Công Nghiệp Tuy Hoà,CĐ Công Thương Miền Trung
đại học y dươc thái nguyên,ĐH Y Dược Thái Nguyên
cao đẳng nghề đà năcng,CĐ Nghề Đà Nẵng
cao đẳng công nghệ kĩ thuật tp.hcm,CĐ Kỹ Nghệ 
"Trường THPT Trưng Vương 3A Nguyễn Bỉnh Khiêm Bến Nghé Quận 1 Hồ Chí Minh, Việt Nam",THPT Trưng Vương
Trường THPT ĐOÀN KÊT,THPT Đoàn Kết
cao dang nong nghiep va ptnt bac bo,CĐ Nông Nghiệp Phát Triển Nông Thôn Bắc Bộ
đại học tdm,ĐH Thủ Dầu Một
yên dũng 3,THPT Yên Dũng
đại học qang trung quy nhon,ĐH Queensland
đại học sư phạm hà nội & đại học sư phạm tp hcm,ĐH Sư phạm Hà Nội
banking university of ho chi minh city (trường đại học ngân hàng tp.hcm).,ĐH Ngân Hàng TP.HCM
Trường THPT phan huy chu thach that,THPT Phan Huy Chú
THPT PHU LOC,THPT Phú Lộc
Trung học phổ thông Bình Chánh,THPT Bình Chánh
đại học sư phạm hà nội ( hnue ),ĐH Sư phạm Hà Nội
THPT Trà Bồng,THPT Trà Bồng
Trường Đại Học Khoa học Thái Nguyên,ĐH Khoa Học - ĐH Thái Nguyên
đại học ngoại thương cs2 - ftu,ĐH Ngoại thương
cao đẳng kỹ thuật công nghiệp bắc giang,CĐ Kỹ thuật Công nghiệp
cd nge hai duong,CĐ Nghề Hòa Bình
đại học chính trị - học viện nguyễn ái quốc,HV Chính Trị
HĐ Luật TP HCM,ĐH Luật TP.HCM
Trường Cao Đẳng nghề công nghệ giấy và cơ điện,CĐ Nghề Công nghệ Giấy Cơ điện
đh kĩ thuật công nghệ tp.hcm,ĐH Công Nghệ TP.HCM
THPT A Phủ Lý,THPT Phủ Lý
Cao đẳng kỹ thuật - công nghệ Tuyên Quang,CĐ Nghề Kỹ thuật Công nghiệp Việt Nam Hàn Quốc
đại học nội vụ - csmt,ĐH Nội Vụ Hà Nội
Trường THPTDTNT Sơn La,THPT DTNT Sơn La
Trường THPT tran thanh tong,THPT Trần Thánh Tông
Trường THPT An Nhơn Tây,THPT An Nhơn Tây
Truong Dai Hoc Y Duoc Tp Ho Chi Minh,ĐH Y Dược TP.HCM
TT giao duc thuong xuyen ha giang,GDNN-GDTX Hà Giang
đại học dân lập thăng long,ĐH Thăng Long
cao đẳng kinh tế-kỹ thuật hà nội,CĐ Kinh tế Kỹ Thuật Hà Nội
cao dang sp tb,CĐ Sư phạm Thái Bình
truong THPT Hiền đa,THPT Hiền Đa
Trường THPT son duong,THPT Sơn Dương
thpt trieu son 1,THPT Triệu Sơn
đại học bách khoa hà nội/ đh ktqd,ĐH Kinh Tế Tài Chính TP.HCM
truong du lich tiep thi quoc te,TC Nghề Du Lịch và Tiếp thị Quốc tế
đh thành đô,ĐH Thành Đô
trường PTTH Lam Kinh,THPT Lam Kinh
truong trung hoc pho thong c Duy Tien,THPT Phủ Lý
DAI HOC PHAM VAN DONG,ĐH Phạm Văn Đồng
đh sư phạm kỹ thuật vih,ĐH Sư Phạm Kỹ Thuật Vinh
Truong THPT Muong Te,THPT Mường Tè
đại học y tế công cộng hà nội,ĐH Y tế Công cộng Hà Nội
Phan Viet Thong Highschool,THPT Phan Việt Thống
cao đẳng thương mại và du lịch hà nôi,CĐ Thương mại Du Lịch
Dh luat tp hcm,ĐH Luật TP.HCM
Trường THPT Thạnh Đông,THPT Thạnh Đông
Trường Đại Học Y Dược Cần Thơ,ĐH Y Dược Cần Thơ
TRUONG TRUNG HOC PHO THONG LONG THANH,THPT Long Thạnh
cao đẳng công nghiệp ll tphcm,CĐ Kinh Tế Kỹ Thuật Công Nghiệp
cd sptw nha trang,CĐ Sư Phạm Trung Ương Nha Trang
Trường THPT Buôn Mê Thuật,THPT Buôn Ma Thuột
phan hieu DHH tai Quang Tri,ĐH Huế
truong tc nghe gjao thong cong chjnh da nang,TC Nghề Giao thông Công chính Đà Nẵng
THPT lục ngạn số3,THPT Lục Ngạn
THPT Rạch Gầm-Xoài Mút,THPT Rạch Gầm Xoài Mút
truong dai hoc sao do chi linh hai duong,ĐH Sao Đỏ
cao đẳng phương đông- quảng nam,CĐ Phương Đông
Truong cao dang yte thai binh,CĐ Y tế Thái Bình
Trường THPT nguyen van to,THPT Nguyễn Văn Tố
cao dang nghe thang long,CĐ Thăng Long
cao dang nghe lod,CĐ nghề kỹ thuật công nghệ LOD
ĐH Kỹ Thuật Công Nghệ Cần Thơ,ĐH Kỹ Thuật Công Nghệ Cần Thơ
Truong THPT Hông Ngư 2,THPT Hồng Ngự
đh sao do-đh quang ninh,ĐH Sao Đỏ
truong thpt ha huy tap ha tinh,THPT Hà Huy Tập
trường cao đẳng văn hoá nghệ thuật đăk' lắc,CĐ Văn hoá Nghệ thuật Đắk Lắk
truong ptth DOAN KET,THPT Đoàn Kết
thpt vo truong toan ben tre,THPT Võ Trường Toản
cao dang kinh te ho chi minh,CĐ Kinh Tế TP.HCM
Đại học Trần Đại Nghĩa - Trường Sĩ quan Kỹ thuật quân sự,ĐH Trần Đại Nghĩa
THPT Nguyễn khuyến - Điện bàn Quảng nam,THPT Nguyễn Khuyến
cao dang y lang son,CĐ Y Tế Lạng Sơn
cao đẳng thiết bị y tế phương mai,CĐ Kỹ Thuật Trang Thiết Bị Y Tế
truong c dsp nha trang,CĐ Sư Phạm Trung ương Nha Trang
Trường THPT Đồ Sơn,THPT Đồ Sơn
cao dang co khi nong nghiep 1,CĐ cơ khí nông nghiệp
truog thpt huyen dien bien,THPT Điện Biên
THPT Amterdam,THPT chuyên Hà Nội Amsterdam
Cao dang su pham Tp. Ho Chi Minh,CĐ Sư phạm Trung ương TP.HCM
Nguyen Tat Thanh Gifted High school - Viet Nam - Kon Tum,THPT Chuyên Nguyễn Tất Thành
Trung học phổ thông Kinh Môn,THPT Kinh Môn
Trường ĐHSPKTHY,ĐH Sư Phạm Kỹ Thuật Hưng Yên
đại học thể dục thể thao huế,ĐH Huế
cao đẳng công nghệ và nông lâm đông bắc-lạng,CĐ Công nghệ và Nông lâm Đông Bắc
Trường THPT Ỷ La,THPT Ỷ La
cao dang y tê thai nguyên,CĐ Y tế Thái Nguyên
"vietnam national university, hanoi",ĐH Quốc gia Hà Nội
Trường THPT Nguyễn Văn Cừ -Quảng Nam,THPT Nguyễn Văn Cừ
"Trường THPTTH ômôn 2, huyện thới lai, tp cần thơ",THPT THỚI LAI
đại học y tế cộng cộng,ĐH Y tế Công cộng Hà Nội
"Trường THPT Phước Vĩnh, Phú Giáo, Bình Dương",THPT Phước Vĩnh
THPT Xuan Dieu Tuy Phuoc,THPT Xuân Diệu
Trường PTTH Hậu Lộc II,THPT Hậu Lộc
cao đẳng ky thuật tphcm,CĐ Kinh tế Kỹ thuật TP.HCM
THPT Nguyễn Du Q.10 TP.HCM,THPT Nguyễn Du
đại học giao thộng vận tải,ĐH Giao thông Vận tải
cao dang cog nge hn,CĐ Công nghệ Hà Tĩnh
"THPT LÊ LỢI TP PLEIKU, GIA LAI",THPT Lê Lợi
tt gdnn gdtx hoai an,GDNN-GDTX Hoài Ân
TT GDTX DN lang giang,GDNN-GDTX Lạng Giang
đh y duợc hà nội,ĐH Y Hà Nội
Tthpt nguyen khac vien,THPT NGUYỄN KHẮC VIỆN
"THPT  Phan Thúc Trực, Yên Thành, Nghệ An",THPT Phan Thúc Trực
THPT Hàng Hải - Hải Phòng,THPT Hàng Hải
Trường THPT Lương Tài 2 - Bắc Ninh,THPT Lương Tài
đại học kiến trúc tp hcm,ĐH Kiến trúc TP.HCM
THPT Minh Châu-Hưng Yên,THPT Minh Châu
VBU,ĐH Việt Bắc
Trung học phổ thông vũ lễ bắc sơn lạng sơn,THPT Vũ Lễ
Truong CD Y Te Hue,CĐ Y tế Huế
THPT Thanh Oai A,THPT Thanh Oai
Dai hoc su pham Ngoai ngu Ha Noi,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
truong Trường THPT hoang hoa tham,THPT Hoàng Hoa Thám
đại học công nghệ sai gòn,ĐH Công Nghệ Sài Gòn
cao dang kt-kt,CĐ Kinh tế Kỹ thuật TP.HCM
ĐH Đông Á,ĐH Đông Á
đại học ngoại ngữ- thanh xuân - hà nội,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
Trường Cao Đẳng Giao thông vận tải Trung ương V,CĐ Giao thông Vận tải Trung ương
cd công nghê hà nôi,CĐ Công nghệ Hà Nội
"cao dang cong nghe viet tri,phu tho",CĐ Nghề Phú Thọ
cao dang djen luc mjen trung,CĐ Điện Lực Miền Trung
Trường THPT Chuyên Lào Cai,THPT Chuyên Lào Cai
Trung Hoc Pho Thong Ke Sach - Soc Trang,THPT Kế Sách
ĐH Sư Phạm HN 2,ĐH Sư phạm Hà Nội
Trường THPT Huỳnh Thị Hưởng,THPT Huỳnh Thị Hưởng
tt dn gdtx q duong kinh,GDNN-GDTX Dương Kinh
Thpt Chu vănan,THPT Chu Văn An
ĐHLuậtt Tp HCM,ĐH Luật TP.HCM
Trường THPT Đông Triều - Quảng Ninh,THPT Đông Triều
Trung Cap y te quang ngai,TC Y Tế Quảng Ngãi
"trường thpt Lộc Thành, bảo lâm,Lâm Đồng",THPT Lộc Thanh
đại học sư phạm kỷ thuật,ĐH Sư phạm Kỹ thuật TP.HCM
Trung học phổ thông Hiệp Hòa,THPT Hiệp Hòa
cao đẳng sư phạm chiềng sinh sơn la,CĐ Sư Phạm
cao đẳng sp nha trang - khánh hòa,CĐ Sư Phạm Trung Ương Nha Trang
ttgdnn gdtx nam dan,GDNN-GDTX Nam Đàn
đại học quốc gia seoul (한극),ĐH Quốc gia Seoul
đại học duy tân - tpđn,ĐH Edith Cowan
Trường PTTH LY TU TRONG,THPT Lý Tự Trọng
