text,normed_text,lower_text,lower_normed_text
Trường trung học phổ thông Lê Thanh Hiền,THPT Lê Thanh Hiền,trường trung học phổ thông lê thanh hiền,thpt lê thanh hiền
tcn khu cong nghiep,TC Nghề Khu Công nghiệp,tcn khu cong nghiep,tc nghề khu công nghiệp
truong CD kinh te-cong nghe tphcm,CĐ Kinh tế Công nghệ TP.HCM,truong cd kinh te-cong nghe tphcm,cđ kinh tế công nghệ tp.hcm
thpt dan lap doi ngo,THPT Dân Lập Đồi Ngô,thpt dan lap doi ngo,thpt dân lập đồi ngô
trung học phổ thông thống nhất a,THPT Thống Nhất,trung học phổ thông thống nhất a,thpt thống nhất
Trung hoc pt thap muoi,THPT Tháp Mười,trung hoc pt thap muoi,thpt tháp mười
trung học phổ thông Tam Giang,THPT Tam Giang,trung học phổ thông tam giang,thpt tam giang
tt gdnn gdtx tuy phuoc,GDNN-GDTX Tuy Phước,tt gdnn gdtx tuy phuoc,gdnn-gdtx tuy phước
Trường cao đẳng nghề số 5 Bộ Quốc Phòng QK5,CĐ Nghề Bộ Quốc Phòng,trường cao đẳng nghề số 5 bộ quốc phòng qk5,cđ nghề bộ quốc phòng
HCM University of Science,ĐH Khoa học Tự nhiên - ĐH Quốc Gia TP.HCM,hcm university of science,đh khoa học tự nhiên - đh quốc gia tp.hcm
Cao Dang Cong Nghiep va Xay Dung,CĐ Công nghiệp và Xây dựng,cao dang cong nghiep va xay dung,cđ công nghiệp và xây dựng
Trung Hoc Pho Thong So 2 tuy Phuoc,THPT Tuy Phước,trung hoc pho thong so 2 tuy phuoc,thpt tuy phước
Trường THPT Kiến An,THPT Kiến An,trường thpt kiến an,thpt kiến an
Trung cấp Âu Lạc - Huế,CĐ Âu Lạc,trung cấp âu lạc - huế,cđ âu lạc
THPT Lưu Tấn Phát,THPT Lưu Tấn Phát,thpt lưu tấn phát,thpt lưu tấn phát
cao dang nghe thua thien hue,CĐ Nghề Thừa Thiên Huế,cao dang nghe thua thien hue,cđ nghề thừa thiên huế
Học viện đường sắt,CĐ Đường sắt,học viện đường sắt,cđ đường sắt
DH Hue,ĐH Huế,dh hue,đh huế
THPT Hợp Thanh - Mĩ Đức - Hà Nội,THPT Hợp Thanh,thpt hợp thanh - mĩ đức - hà nội,thpt hợp thanh
Truog Trường THPT mjh khaj,THPT Nguyễn Thị Minh Khai,truog trường thpt mjh khaj,thpt nguyễn thị minh khai
trường trung học phổ thông bảo lâm,THPT Bảo Lâm,trường trung học phổ thông bảo lâm,thpt bảo lâm
"từng truong THPT NGUYỄN CHÍ THANH,huyên HÒA THÀNH,tỉnh TÂY NINH",THPT Nguyễn Chí Thanh,"từng truong thpt nguyễn chí thanh,huyên hòa thành,tỉnh tây ninh",thpt nguyễn chí thanh
Trường Hermann Gmeiner Đà Nẵng,THPT Hermann Gmeiner,trường hermann gmeiner đà nẵng,thpt hermann gmeiner
THPT Hà Huy Tập,THPT Hà Huy Tập,thpt hà huy tập,thpt hà huy tập
THPT chuyên Hoàng Văn Thụ - Tỉnh Hòa Bình,THPT Chuyên Hoàng Văn Thụ,thpt chuyên hoàng văn thụ - tỉnh hòa bình,thpt chuyên hoàng văn thụ
Trường THPT thieu hoa,THPT Thiệu Hoá,trường thpt thieu hoa,thpt thiệu hoá
tt gdnn va gdtx gia dinh,GDNN-GDTX Gia Định,tt gdnn va gdtx gia dinh,gdnn-gdtx gia định
Cao dang su fam tw,CĐ Sư phạm Trung ương,cao dang su fam tw,cđ sư phạm trung ương
Trường THPT Vĩnh Kim,THPT Vĩnh Kim,trường thpt vĩnh kim,thpt vĩnh kim
truong Trường THPT ban cong thanh ba,THPT Bán Công Thanh Ba,truong trường thpt ban cong thanh ba,thpt bán công thanh ba
Trung cap VHNT Da Nang,CĐ Văn hóa Nghệ thuật Đà Nẵng,trung cap vhnt da nang,cđ văn hóa nghệ thuật đà nẵng
THPT Phạm Quang Thẩm Vũ Thư Thái Bình,THPT Phạm Quang Thẩm,thpt phạm quang thẩm vũ thư thái bình,thpt phạm quang thẩm
Lớp 11B7 THPT An Thới - Phú Quốc,THPT An Thới,lớp 11b7 thpt an thới - phú quốc,thpt an thới
Đại học Huế - Hue University,ĐH Huế,đại học huế - hue university,đh huế
quang ngai college of industrial technology,CĐ Quảng Ngãi,quang ngai college of industrial technology,cđ quảng ngãi
HVNH-PVPY,HV Ngân hàng,hvnh-pvpy,hv ngân hàng
trường THPT Nguyễn Du sông hinh Phú yên,THPT Nguyễn Du,trường thpt nguyễn du sông hinh phú yên,thpt nguyễn du
THPT Lý Nhân - Hà Nam,THPT Lý Nhân,thpt lý nhân - hà nam,thpt lý nhân
Trường THPT Tran Thi Dung,THPT Trần Thị Dung,trường thpt tran thi dung,thpt trần thị dung
"Trường THPT Thừa Lưu,  Lộc Tiến, Phú Lộc, Thừa Thiên Huế",THPT Thừa Lưu,"trường thpt thừa lưu,  lộc tiến, phú lộc, thừa thiên huế",thpt thừa lưu
THPT Thái Phiên Đà Nẵng,THPT Thái Phiên,thpt thái phiên đà nẵng,thpt thái phiên
THPT Vinh Lnh,THPT Vĩnh Linh,thpt vinh lnh,thpt vĩnh linh
THPT TRẦN CAO VÂN,THPT Trần Cao Vân,thpt trần cao vân,thpt trần cao vân
Vinh Xuan High School - Trường THPT Vinh Xuân,THPT Vinh Xuân,vinh xuan high school - trường thpt vinh xuân,thpt vinh xuân
"Trường THPT BC Nguyễn Công Trứ, Mộ Đức, Quảng Ngãi",THPT Nguyễn Công Trứ,"trường thpt bc nguyễn công trứ, mộ đức, quảng ngãi",thpt nguyễn công trứ
truong dai hoc lao dong xa hoi co so 2,ĐH Lao động Xã hội,truong dai hoc lao dong xa hoi co so 2,đh lao động xã hội
Truong trung hoc pho thong van hien,THPT VĂN HIẾN,truong trung hoc pho thong van hien,thpt văn hiến
University of the Highlands and Islands,ĐH Highlands và Islands,university of the highlands and islands,đh highlands và islands
Trường thpt chiêm hoá,THPT Chiêm Hóa,trường thpt chiêm hoá,thpt chiêm hóa
Cao đẳng Y tế Thái Bình,CĐ Y tế Thái Bình,cao đẳng y tế thái bình,cđ y tế thái bình
THPT Mang Thít,THPT Mang Thít,thpt mang thít,thpt mang thít
Trường ĐH Tôn Đức Thắng Nha Trang,ĐH Tôn Đức Thắng,trường đh tôn đức thắng nha trang,đh tôn đức thắng
"Petrus Ky, Saigon, Vietnam",THPT chuyên Lê Hồng Phong,"petrus ky, saigon, vietnam",thpt chuyên lê hồng phong
THPT ToHieu,THPT Tô Hiệu,thpt tohieu,thpt tô hiệu
Đại học Sư phạm Nhạc Họa Trung ương,ĐH Sư Phạm Nghệ Thuật Trung ương,đại học sư phạm nhạc họa trung ương,đh sư phạm nghệ thuật trung ương
Trường THPT Mộ Đức - Quảng Ngãi,THPT Mộ Đức,trường thpt mộ đức - quảng ngãi,thpt mộ đức
"THPT Nguyễn Văn Trỗi, Tánh Linh, Bình Thuận",THPT Nguyễn Văn Trỗi,"thpt nguyễn văn trỗi, tánh linh, bình thuận",thpt nguyễn văn trỗi
Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội,đại học ngoại ngữ - đại học quốc gia hà nội,đh ngoại ngữ - đh quốc gia hà nội
Trung cap nghe KTCN Nam Dinh,CĐ kinh tế và công nghệ Nam Định,trung cap nghe ktcn nam dinh,cđ kinh tế và công nghệ nam định
cao dang y te thanh hoa,CĐ Y tế Thanh Hóa,cao dang y te thanh hoa,cđ y tế thanh hóa
cd nghe binh thuan,CĐ Nghề Bình Thuận,cd nghe binh thuan,cđ nghề bình thuận
Đại học khoa học tự nhiên Quốc gia Hà Nội,ĐH Khoa học Tự nhiên - ĐH Quốc gia Hà Nội,đại học khoa học tự nhiên quốc gia hà nội,đh khoa học tự nhiên - đh quốc gia hà nội
"THPT Trần Hưng Đạo, Quế Võ, Bắc Ninh",THPT Trần Hưng Đạo,"thpt trần hưng đạo, quế võ, bắc ninh",thpt trần hưng đạo
THPT Nam Luong Son,THPT Nam Lương Sơn,thpt nam luong son,thpt nam lương sơn
gdnn gdtx quan dong da,GDNN-GDTX Đống Đa,gdnn gdtx quan dong da,gdnn-gdtx đống đa
Trường THPT an bien,THPT An Biên,trường thpt an bien,thpt an biên
Trường Cao Đẳng Kinh Tế Kỹ Thuật Lâm Đồng,CĐ Kinh tế Kỹ thuật Lâm Đồng,trường cao đẳng kinh tế kỹ thuật lâm đồng,cđ kinh tế kỹ thuật lâm đồng
THPT Tran Van Quan,THPT Trần Văn Quan,thpt tran van quan,thpt trần văn quan
Milytary Technical Academy,HV Kỹ thuật Quân sự,milytary technical academy,hv kỹ thuật quân sự
Trường Trung Cấp Phạm Ngọc Thạch Cần Thơ,CĐ Phạm Ngọc Thạch Cần Thơ,trường trung cấp phạm ngọc thạch cần thơ,cđ phạm ngọc thạch cần thơ
"Trường Trung học phổ thông Trần Hưng Đạo, Hải Phòng",THPT Trần Hưng Đạo,"trường trung học phổ thông trần hưng đạo, hải phòng",thpt trần hưng đạo
Hoc vien quan y ha noj,HV Quân y,hoc vien quan y ha noj,hv quân y
Truờng THPT Nguyễn Mai,THPT Nguyễn Mai,truờng thpt nguyễn mai,thpt nguyễn mai
THPT Sông Mã,THPT Sông Mã,thpt sông mã,thpt sông mã
Đại Học Thủy Lợi ( Cơ sở 2 ),ĐH Thủy Lợi,đại học thủy lợi ( cơ sở 2 ),đh thủy lợi
"Trung học phổ thông Tân Trào Thành phố Tuyên Quang, Tỉnh Tuyên Quang",THPT Tân Trào,"trung học phổ thông tân trào thành phố tuyên quang, tỉnh tuyên quang",thpt tân trào
Cao dang nghe cong nghe ha tinh,CĐ Công Nghệ Hà Tĩnh,cao dang nghe cong nghe ha tinh,cđ công nghệ hà tĩnh
"Trường THPT Tạ Quang Bửu, Quận 8, Tp.HCM",THPT Tạ Quang Bửu,"trường thpt tạ quang bửu, quận 8, tp.hcm",thpt tạ quang bửu
THPT Nhị Chiểu - Hải Dương,THPT Nhị Chiểu,thpt nhị chiểu - hải dương,thpt nhị chiểu
Phổ Thông Long Khánh A,THPT Long Khánh,phổ thông long khánh a,thpt long khánh
Trường THPT Krông Bông đak lăk,THPT Krông Bông,trường thpt krông bông đak lăk,thpt krông bông
SP Lao Cai,CĐ SƯ PHẠM LÀO CAI,sp lao cai,cđ sư phạm lào cai
truong thpt le trung dinh,THPT Lê Trung Đình,truong thpt le trung dinh,thpt lê trung đình
Truog daj hoc xa hoj va nhan van,ĐH Khoa học Xã hội và Nhân văn - ĐH Quốc gia Hà Nội,truog daj hoc xa hoj va nhan van,đh khoa học xã hội và nhân văn - đh quốc gia hà nội
THPT TÂN HIỆP - KIÊN GIANG,THPT Tân Hiệp,thpt tân hiệp - kiên giang,thpt tân hiệp
Đại Học Công Nghiệp HN,ĐH Công nghiệp Hà Nội,đại học công nghiệp hn,đh công nghiệp hà nội
TT giáo dục thường xuyên hướng nghiệp Gia Lộc,GDNN-GDTX Hướng Nghiệp Gia Lộc,tt giáo dục thường xuyên hướng nghiệp gia lộc,gdnn-gdtx hướng nghiệp gia lộc
Trường THPT Thu Xà,THPT Thu Xà,trường thpt thu xà,thpt thu xà
LTVU,ĐH Dân lập Lương Thế Vinh,ltvu,đh dân lập lương thế vinh
truong thpt dong son 1,THPT Đông Sơn,truong thpt dong son 1,thpt đông sơn
Trường THPT so 2 phu my,THPT Phù Mỹ,trường thpt so 2 phu my,thpt phù mỹ
Quang Nam medical college,CĐ Y tế Quảng Nam,quang nam medical college,cđ y tế quảng nam
DH Nông Lâm Thái Nguyên,ĐH Nông Lâm,dh nông lâm thái nguyên,đh nông lâm
DH kinh doanh va cong nghe ha noi,ĐH Kinh doanh và Công nghệ Hà Nội,dh kinh doanh va cong nghe ha noi,đh kinh doanh và công nghệ hà nội
THPT Phạm Thành Trung - Cái Bè - Tiền Giang,THPT Phạm Thành Trung,thpt phạm thành trung - cái bè - tiền giang,thpt phạm thành trung
THPT Nguyễ Trung Trực,THPT Nguyễn Trung Trực,thpt nguyễ trung trực,thpt nguyễn trung trực
Trường Trung Học Cơ Sở và Trung Học Phổ Thông Thống Nhất,THCS-THPT Thống Nhất,trường trung học cơ sở và trung học phổ thông thống nhất,thcs-thpt thống nhất
THPT Nguyễn Du Quãng Sơn Ninh Sơn Ninh huận,THPT Nguyễn Du,thpt nguyễn du quãng sơn ninh sơn ninh huận,thpt nguyễn du
"truong trung hoc pho thong hoa tu 1 , my xuyen , soc trang",THPT Hòa Tú,"truong trung hoc pho thong hoa tu 1 , my xuyen , soc trang",thpt hòa tú
truong THPT nhu xuan thanh hoa,THPT Như Xuân,truong thpt nhu xuan thanh hoa,thpt như xuân
THPT CTB,THPT Chuyên Thái Bình,thpt ctb,thpt chuyên thái bình
THPT Vân Khánh,THPT Vân Khánh,thpt vân khánh,thpt vân khánh
Đại Học Quốc Tế Sài Gòn - SIU,ĐH Quốc tế Sài Gòn,đại học quốc tế sài gòn - siu,đh quốc tế sài gòn
trung học phổ thông xuân hưng,THPT Xuân Hưng,trung học phổ thông xuân hưng,thpt xuân hưng
truong thpt duyen hai,THPT Duyên Hải,truong thpt duyen hai,thpt duyên hải
thpt hong bang,THPT Hồng Bàng,thpt hong bang,thpt hồng bàng
Trường THPT Nam Đông,THPT Nam Đông,trường thpt nam đông,thpt nam đông
Trường THPT ha huy tap he gdtx,THPT Hà Huy Tập,trường thpt ha huy tap he gdtx,thpt hà huy tập
Trường THPT BC Hà Trung,THPT Hà Trung,trường thpt bc hà trung,thpt hà trung
THPT Doan Thi Diem thanh phu ben tre,THPT Đoàn Thị Điểm,thpt doan thi diem thanh phu ben tre,thpt đoàn thị điểm
Thpt Tân Kì,THPT Tân Kỳ,thpt tân kì,thpt tân kỳ
Bauman Moscow State Technical University,ĐH Kỹ thuật Quốc gia Moskva Bauman,bauman moscow state technical university,đh kỹ thuật quốc gia moskva bauman
THPT Nguyen Cong Tru mo duc quang ngai,THPT Nguyễn Công Trứ,thpt nguyen cong tru mo duc quang ngai,thpt nguyễn công trứ
Trường THPT NguyenVanCu,THPT Nguyễn Văn Cừ,trường thpt nguyenvancu,thpt nguyễn văn cừ
Trường THCS và THPT Việt Trung,THCS-THPT Việt Trung,trường thcs và thpt việt trung,thcs-thpt việt trung
Phổ Thông Phạm Thành Trung,THPT Phạm Thành Trung,phổ thông phạm thành trung,thpt phạm thành trung
Cao đẳng dược đà nẵng,CĐ Y Dược Đà Nẵng,cao đẳng dược đà nẵng,cđ y dược đà nẵng
THPT Phan Đăng Lưu tphcm,THPT Phan Đăng Lưu,thpt phan đăng lưu tphcm,thpt phan đăng lưu
Trần Đại Nghĩa high school for the gifted,THPT Chuyên Trần Đại Nghĩa,trần đại nghĩa high school for the gifted,thpt chuyên trần đại nghĩa
trường THPT Tân Hưng,THPT Tân Hưng,trường thpt tân hưng,thpt tân hưng
TT Gdtx Tỉnh Long An,GDNN-GDTX Tỉnh Long An,tt gdtx tỉnh long an,gdnn-gdtx tỉnh long an
THPT Lê Quý Đôn - Thạch Hà,THPT Lê Quý Đôn,thpt lê quý đôn - thạch hà,thpt lê quý đôn
Nguyễn Tất Thành MaDrak,THPT Nguyễn Tất Thành,nguyễn tất thành madrak,thpt nguyễn tất thành
THPT Nguyễn Hữu Cảnh - Quảng Ninh - Quảng Bình,THPT Nguyễn Hữu Cảnh,thpt nguyễn hữu cảnh - quảng ninh - quảng bình,thpt nguyễn hữu cảnh
Đại Học Mỹ Thuật TPHCM,ĐH Mỹ Thuật TP.HCM,đại học mỹ thuật tphcm,đh mỹ thuật tp.hcm
Trường THPT Dai Ngai,THPT Đại Ngãi,trường thpt dai ngai,thpt đại ngãi
THPT Đồng xoai,THPT Đồng Xoài,thpt đồng xoai,thpt đồng xoài
trường THPT Ba Bể,THPT Ba Bể,trường thpt ba bể,thpt ba bể
Truong Trường THPT nghia minh nghia hung,THPT Nghĩa Minh,truong trường thpt nghia minh nghia hung,thpt nghĩa minh
Trường THPT do cong tuong,THPT Đỗ Công Tường,trường thpt do cong tuong,thpt đỗ công tường
tt gdtx ktth hn duc hoa,GDNN-GDTX Đức Hoà,tt gdtx ktth hn duc hoa,gdnn-gdtx đức hoà
THPT Bui Huu Nghia,THPT Bùi Hữu Nghĩa,thpt bui huu nghia,thpt bùi hữu nghĩa
thpt Da Huoai,THPT Đạ Huoai,thpt da huoai,thpt đạ huoai
truong thpt chueguevara,THPT Chêguevara,truong thpt chueguevara,thpt chêguevara
Trường Cao đẳng nghề Nha Trang,CĐ Kỹ Thuật Công Nghệ Nha Trang,trường cao đẳng nghề nha trang,cđ kỹ thuật công nghệ nha trang
Trường THPT Lương Tâm,THPT Lương Tâm,trường thpt lương tâm,thpt lương tâm
truong cao dang tam tri,CĐ Tâm Trí,truong cao dang tam tri,cđ tâm trí
Trường THPT Lê Quý Đôn Đà Nẵng,THPT chuyên Lê Quý Đôn,trường thpt lê quý đôn đà nẵng,thpt chuyên lê quý đôn
thpt truong trinh,THPT Trường Chinh,thpt truong trinh,thpt trường chinh
THPT yên thủy C,THPT Yên Thuỷ,thpt yên thủy c,thpt yên thuỷ
Th Pt Hoang Hoa Tham Da Nang,THPT Hoàng Hoa Thám,th pt hoang hoa tham da nang,thpt hoàng hoa thám
Trường Trung học phổ thông chuyên Nguyễn Trãi,THPT chuyên Nguyễn Trãi,trường trung học phổ thông chuyên nguyễn trãi,thpt chuyên nguyễn trãi
pt nui thanh,THPT Núi Thành,pt nui thanh,thpt núi thành
"Trường THPT Nguyễn Văn Cừ, Hóc Môn,TPHCM",THPT Nguyễn Văn Cừ,"trường thpt nguyễn văn cừ, hóc môn,tphcm",thpt nguyễn văn cừ
Trường Đại học Hồng Đức,ĐH Hồng Đức,trường đại học hồng đức,đh hồng đức
Trường THPT Phan Đình Phùng - Tỉnh Đắk Lắk,THPT Phan Đình Phùng,trường thpt phan đình phùng - tỉnh đắk lắk,thpt phan đình phùng
Đại học Kĩ thuật y tế Hải Dương,ĐH Kỹ thuật Y tế Hải Dương,đại học kĩ thuật y tế hải dương,đh kỹ thuật y tế hải dương
"Trung học phổ thông Lê Hoàn ( Thọ Xuân,Thanh Hóa)",THPT LÊ HOÀN,"trung học phổ thông lê hoàn ( thọ xuân,thanh hóa)",thpt lê hoàn
Ho Chi Minh City University of enocomics,ĐH Kinh tế TP. HCM,ho chi minh city university of enocomics,đh kinh tế tp. hcm
Trường THPT so 5 wuang track,THPT Bố Trạch,trường thpt so 5 wuang track,thpt bố trạch
cao dang su pham,CĐ Sư phạm Trung ương TP.HCM,cao dang su pham,cđ sư phạm trung ương tp.hcm
tt dn gdtx huyen bat xat,GDNN-GDTX Bát Xát,tt dn gdtx huyen bat xat,gdnn-gdtx bát xát
Trường THPT Thanh Miện I,THPT Thanh Miện,trường thpt thanh miện i,thpt thanh miện
Truong Dai hoc Nguyen Hue,Sĩ quan Lục quân,truong dai hoc nguyen hue,sĩ quan lục quân
Trường cấp 3 thị xã Cao Bằng,THPT TP Cao Bằng,trường cấp 3 thị xã cao bằng,thpt tp cao bằng
"THPT  Lê Quý Đôn, Trực Ninh, Nam Định",THPT Lê Quý Đôn,"thpt  lê quý đôn, trực ninh, nam định",thpt lê quý đôn
truong Trường THPT my duc c,THPT Mỹ Đức,truong trường thpt my duc c,thpt mỹ đức
sp vat ly,ĐH Sư phạm Hà Nội,sp vat ly,đh sư phạm hà nội
Trung Tâm Giáo Dục Thường Xuyên Nam Sách,GDNN-GDTX Nam Sách,trung tâm giáo dục thường xuyên nam sách,gdnn-gdtx nam sách
THPT Thị Trấn Mộc Hóa,THPT Mộc Hoá,thpt thị trấn mộc hóa,thpt mộc hoá
Trung học phổ thông thị trấn trà ôn,THPT Trà Ôn,trung học phổ thông thị trấn trà ôn,thpt trà ôn
Trường trung học phổ thông Phụ Dực,THPT Phụ Dực,trường trung học phổ thông phụ dực,thpt phụ dực
pho thong muong cha,THPT Mường Chà,pho thong muong cha,thpt mường chà
Trường THPT vinh hoa,THPT Vĩnh Hoà,trường thpt vinh hoa,thpt vĩnh hoà
THPT Hiep Hoa So 3,THPT Hiệp Hòa,thpt hiep hoa so 3,thpt hiệp hòa
Dh nong lam bac giang,ĐH Nông Lâm,dh nong lam bac giang,đh nông lâm
Trường Phổ thông Dân tộc nội trú tỉnh Bình Thuận,THPT DTNT Bình Thuận,trường phổ thông dân tộc nội trú tỉnh bình thuận,thpt dtnt bình thuận
Truong PTTH Long Binh. Tien Giang,THPT Long Bình,truong ptth long binh. tien giang,thpt long bình
THPT Nguyễn Trãi - Thái Bình,THPT Nguyễn Trãi,thpt nguyễn trãi - thái bình,thpt nguyễn trãi
Cao Dang Su Pham Br.Vt,CĐ Sư phạm Bà Rịa Vũng Tàu,cao dang su pham br.vt,cđ sư phạm bà rịa vũng tàu
THPT Nghi Lộc 5,THPT Nghi Lộc,thpt nghi lộc 5,thpt nghi lộc
THPT Phu Luong - Thai Nguyen,THPT Phú Lương,thpt phu luong - thai nguyen,thpt phú lương
Trường Cao Đẳng nghề công nghệ giấy và cơ điện,CĐ Nghề Công nghệ Giấy và Cơ điện,trường cao đẳng nghề công nghệ giấy và cơ điện,cđ nghề công nghệ giấy và cơ điện
THPT tanh ljnh,THPT Tánh Linh,thpt tanh ljnh,thpt tánh linh
truong pho thong dan toc noi tru ha noi,THPT DTNT Hà Nội ,truong pho thong dan toc noi tru ha noi,thpt dtnt hà nội 
Trường Đại học Kinh tế- Kỹ thuật Bình Dương,ĐH Kinh tế Kỹ thuật Bình Dương,trường đại học kinh tế- kỹ thuật bình dương,đh kinh tế kỹ thuật bình dương
Trường PTTH Long Mỹ,THPT Long Mỹ,trường ptth long mỹ,thpt long mỹ
tt gdnn gdtx ben cau,GDNN-GDTX Bến Cầu,tt gdnn gdtx ben cau,gdnn-gdtx bến cầu
Văn Hóa Nghệ Thuật Đà Nẵng,CĐ Văn hóa Nghệ thuật Đà Nẵng,văn hóa nghệ thuật đà nẵng,cđ văn hóa nghệ thuật đà nẵng
pho thong lap vo 1,THPT Lấp Vò,pho thong lap vo 1,thpt lấp vò
THPT Yên Thủy A- HB,THPT Yên Thủy,thpt yên thủy a- hb,thpt yên thủy
Đại học Bôn,ĐH Bôn Ba,đại học bôn,đh bôn ba
"THPT Hải Đảo, Vân Đồn, Quảng Ninh",THPT Hải Đảo,"thpt hải đảo, vân đồn, quảng ninh",thpt hải đảo
TT GDTX long dien dat do,GDNN-GDTX Long Điền,tt gdtx long dien dat do,gdnn-gdtx long điền
"THPT Che Gue Vara , Mỏ Cày Nam, Bến Tre",THPT Chêguevara,"thpt che gue vara , mỏ cày nam, bến tre",thpt chêguevara
Trường THPT Gia viễn B,THPT Gia Viễn,trường thpt gia viễn b,thpt gia viễn
trung hoc phổ thông việt yên 1,THPT Việt Yên,trung hoc phổ thông việt yên 1,thpt việt yên
Trường THPT tap son,THPT Tập Sơn,trường thpt tap son,thpt tập sơn
trung tam gd dn gia rai,GDNN-GDTX Giá Rai,trung tam gd dn gia rai,gdnn-gdtx giá rai
Trường THCS-THPT duy tan,THCS-THPT Duy Tân,trường thcs-thpt duy tan,thcs-thpt duy tân
Đại học ngoại thương - FTU,ĐH Ngoại thương,đại học ngoại thương - ftu,đh ngoại thương
Trường Trung Cấp Sài Gòn,TC Sài Gòn,trường trung cấp sài gòn,tc sài gòn
Trường THPT chuyen le thanh tong,THPT chuyên Lê Thánh Tông,trường thpt chuyen le thanh tong,thpt chuyên lê thánh tông
THPT Phú Mỹ Tân Thành BRVT,THPT Phú Mỹ,thpt phú mỹ tân thành brvt,thpt phú mỹ
cao dang sptw nha trang,CĐ Sư Phạm Trung Ương Nha Trang,cao dang sptw nha trang,cđ sư phạm trung ương nha trang
truong dai hoc tay bac thanh pho son la tinh son la,ĐH Tây Bắc,truong dai hoc tay bac thanh pho son la tinh son la,đh tây bắc
Trường THPT Lộc Bình - huyện Lộc Bình - tỉnh Lạng Sơn,THPT Lộc Bình,trường thpt lộc bình - huyện lộc bình - tỉnh lạng sơn,thpt lộc bình
Trường THPT Ngô Quyền-Tỉnh Đồng Nai,THPT Ngô Quyền,trường thpt ngô quyền-tỉnh đồng nai,thpt ngô quyền
Cao dang cong nghjep.Hue school,CĐ Công nghiệp Huế,cao dang cong nghjep.hue school,cđ công nghiệp huế
Truong PTTH Nguyen Huu Cau - Hoc Mon,THPT Nguyễn Hữu Cầu,truong ptth nguyen huu cau - hoc mon,thpt nguyễn hữu cầu
Trường THPT ung van khiem,THPT Ung Văn Khiêm,trường thpt ung van khiem,thpt ung văn khiêm
THPT Chuyên Long An,THPT chuyên Long An,thpt chuyên long an,thpt chuyên long an
Trường PTTH Nguyễn Trường Tộ-Huế,THPT Nguyễn Trường Tộ,trường ptth nguyễn trường tộ-huế,thpt nguyễn trường tộ
Đại học Kinh tế - ĐHQG HN,ĐH Kinh tế - ĐH Quốc gia Hà Nội,đại học kinh tế - đhqg hn,đh kinh tế - đh quốc gia hà nội
Trường THPTTH Nguyễn Khuyến Nam Định,THPT Nguyễn Khuyến,trường thptth nguyễn khuyến nam định,thpt nguyễn khuyến
gdnn gdtx quan ba dinh,GDNN-GDTX Ba Đình,gdnn gdtx quan ba dinh,gdnn-gdtx ba đình
TTHPTTieu Cần Trà Vinh,THPT Tiểu Cần,tthpttieu cần trà vinh,thpt tiểu cần
THPT Chu Văn An - An Giang,THPT Chu Văn An,thpt chu văn an - an giang,thpt chu văn an
Trường Cao Đẳng Nghề Đà Lạt,CĐ Nghề Đà Lạt,trường cao đẳng nghề đà lạt,cđ nghề đà lạt
THPT Trần Quốc Tuấn Hải Hậu Nam Định,THPT Trần Quốc Tuấn,thpt trần quốc tuấn hải hậu nam định,thpt trần quốc tuấn
DTNT Dak Ha,THPT DTNT Đak Hà,dtnt dak ha,thpt dtnt đak hà
"Trường THPT Bố Hạ,Yên Thế,Bắc Giang",THPT Bố Hạ,"trường thpt bố hạ,yên thế,bắc giang",thpt bố hạ
Trường THPT chuyen lam son,THPT Chuyên Lam Sơn,trường thpt chuyen lam son,thpt chuyên lam sơn
Hanoi National Academy of Music,HV Âm Nhạc Quốc Gia Việt Nam,hanoi national academy of music,hv âm nhạc quốc gia việt nam
dhhh viet nam,ĐH Hàng hải Việt Nam,dhhh viet nam,đh hàng hải việt nam
TRUONG DH CONG NGHE SAI GON,ĐH Công Nghệ Sài Gòn,truong dh cong nghe sai gon,đh công nghệ sài gòn
"Mái Trường THPT Hoàng Hoa Thám, Huyện Diên Khánh, Tỉnh Khánh Hòa",THPT Hoàng Hoa Thám,"mái trường thpt hoàng hoa thám, huyện diên khánh, tỉnh khánh hòa",thpt hoàng hoa thám
Trường THPT Kiến Thụy,THPT Kiến Thụy,trường thpt kiến thụy,thpt kiến thụy
Trường THPT Trần Phú Văn Yên Yên Bái,THPT Trần Phú,trường thpt trần phú văn yên yên bái,thpt trần phú
Trường THPT TÂN  BÌNH,THPT Tân Bình,trường thpt tân  bình,thpt tân bình
Đại Học Sư Phạm - Đại Học Huế,ĐH Sư Phạm - ĐH Huế,đại học sư phạm - đại học huế,đh sư phạm - đh huế
THPT Chuyên Nguyễn Du,THPT chuyên Nguyễn Du,thpt chuyên nguyễn du,thpt chuyên nguyễn du
THPT Võ Nhai,THPT Võ Nhai,thpt võ nhai,thpt võ nhai
PTHT Vũ tiên Vũ thư Thái bình,THPT Vũ Tiên,ptht vũ tiên vũ thư thái bình,thpt vũ tiên
trường trung học phổ thông Hải Hậu C,THPT Hải Hậu,trường trung học phổ thông hải hậu c,thpt hải hậu
THPT chiêm hóa,THPT Chiêm Hóa,thpt chiêm hóa,thpt chiêm hóa
